Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
356,13,A1,sich verstehen _____,mit,sich verstehen mit,to get along with,s'entendre avec,Dative,Datif,verstehen,sich verstehen mit,to get along with = sich verstehen mit + Dative,s'entendre avec = sich verstehen mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to get along with = sich verstehen mit + Dative<br>to introduce a partner → mit + Dat.,s'entendre avec = sich verstehen mit + Datif<br>pour introduire un partenaire → mit + Dat.
357,13,B1,gewöhnen _____,an,gewöhnen an,to get used to,s'habituer à,Accusative,Accusatif,gewöhnen,gewöhnen an,to get used to = gewöhnen an + Accusative,s'habituer à = gewöhnen an + Accusatif,to introduce an adaptation → an + Acc.,pour introduire une adaptation → an + Acc.,to get used to = gewöhnen an + Accusative<br>to introduce an adaptation → an + Acc.,s'habituer à = gewöhnen an + Accusatif<br>pour introduire une adaptation → an + Acc.
358,13,B1,sich bemühen _____,um,sich bemühen um,"to strive for, be eager for",aspirer à,Accusative,Accusatif,sich bemühen,sich bemühen um,"to strive for, be eager for = sich bemühen um + Accusative",aspirer à = sich bemühen um + Accusatif,to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,"to strive for, be eager for = sich bemühen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.",aspirer à = sich bemühen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.
359,13,B1,geraten _____,in,geraten in,to get into,se retrouver dans,Accusative,Accusatif,geraten,geraten in,to get into = geraten in + Accusative,se retrouver dans = geraten in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to get into = geraten in + Accusative<br>to introduce a transformation → in + Acc.,se retrouver dans = geraten in + Accusatif<br>pour introduire une transformation → in + Acc.
360,14,,Der Arzt hat ihn _____ den Gefahren des Rauchens gewarnt.,vor,Der Arzt hat ihn vor den Gefahren des Rauchens gewarnt.,The doctor warned him about the dangers of smoking.,Le médecin l'a mis en garde contre les dangers du tabagisme.,,,warnen,warnen vor,to warn of = warnen vor + Dative,avertir de = warnen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to warn of = warnen vor + Dative<br>to introduce an object of danger → vor + Dat.,avertir de = warnen vor + Datif<br>pour introduire un danger → vor + Dat.
361,14,,Die Polizei warnt _____ Betrügern im Internet.,vor,Die Polizei warnt vor Betrügern im Internet.,The police warn about online scammers.,La police met en garde contre les arnaqueurs en ligne.,,,warnen,warnen vor,to warn of = warnen vor + Dative,avertir de = warnen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to warn of = warnen vor + Dative<br>to introduce an object of danger → vor + Dat.,avertir de = warnen vor + Datif<br>pour introduire un danger → vor + Dat.
362,14,,Die Meteorologen warnen _____ starkem Sturm am Wochenende.,vor,Die Meteorologen warnen vor starkem Sturm am Wochenende.,Meteorologists warn of strong storms at the weekend.,Les météorologues mettent en garde contre de violents orages ce week-end.,,,warnen,warnen vor,to warn of = warnen vor + Dative,avertir de = warnen vor + Datif,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to warn of = warnen vor + Dative<br>to introduce an object of danger → vor + Dat.,avertir de = warnen vor + Datif<br>pour introduire un danger → vor + Dat.
363,14,,Sie hat sich gut _____ ihrer Krankheit erholt.,von,Sie hat sich gut von ihrer Krankheit erholt.,She has recovered well from her illness.,Elle s'est bien remise de sa maladie.,,,erholen,sich erholen von,to recover from = sich erholen von + Dative,se remettre de = sich erholen von + Datif,to introduce an origin or a starting point → von + Dat.,pour introduire une origine ou un point de départ → von + Dat.,to recover from = sich erholen von + Dative<br>to introduce an origin or a starting point → von + Dat.,se remettre de = sich erholen von + Datif<br>pour introduire une origine ou un point de départ → von + Dat.
364,14,,Nach dem Stress muss ich mich _____ der Arbeit erholen.,von,Nach dem Stress muss ich mich von der Arbeit erholen.,"After the stress, I need to recover from work.","Après le stress, j'ai besoin de récupérer du travail.",,,erholen,sich erholen von,to recover from = sich erholen von + Dative,se remettre de = sich erholen von + Datif,to introduce an origin or a starting point → von + Dat.,pour introduire une origine ou un point de départ → von + Dat.,to recover from = sich erholen von + Dative<br>to introduce an origin or a starting point → von + Dat.,se remettre de = sich erholen von + Datif<br>pour introduire une origine ou un point de départ → von + Dat.
365,14,,Er erholt sich gerade _____ einer langen Reise.,von,Er erholt sich gerade von einer langen Reise.,He is recovering from a long journey.,Il se remet d'un long voyage.,,,erholen,sich erholen von,to recover from = sich erholen von + Dative,se remettre de = sich erholen von + Datif,to introduce an origin or a starting point → von + Dat.,pour introduire une origine ou un point de départ → von + Dat.,to recover from = sich erholen von + Dative<br>to introduce an origin or a starting point → von + Dat.,se remettre de = sich erholen von + Datif<br>pour introduire une origine ou un point de départ → von + Dat.
366,14,,Die Musik wirkt beruhigend _____ mich.,auf,Die Musik wirkt beruhigend auf mich.,The music has a calming effect on me.,La musique a un effet apaisant sur moi.,,,wirken,wirken auf,"to affect, to have an effect on = wirken auf + Accusative","affecter, avoir un effet sur = wirken auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to affect, to have an effect on = wirken auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.","affecter, avoir un effet sur = wirken auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
367,14,,Sein Verhalten wirkt arrogant _____ andere.,auf,Sein Verhalten wirkt arrogant auf andere.,His behavior seems arrogant to others.,Son comportement paraît arrogant aux yeux des autres.,,,wirken,wirken auf,"to affect, to have an effect on = wirken auf + Accusative","affecter, avoir un effet sur = wirken auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to affect, to have an effect on = wirken auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.","affecter, avoir un effet sur = wirken auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
368,14,,Das Licht wirkt positiv _____ die Stimmung.,auf,Das Licht wirkt positiv auf die Stimmung.,The light has a positive effect on the mood.,La lumière a un effet positif sur l'humeur.,,,wirken,wirken auf,"to affect, to have an effect on = wirken auf + Accusative","affecter, avoir un effet sur = wirken auf + Accusatif",to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to affect, to have an effect on = wirken auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.","affecter, avoir un effet sur = wirken auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc."
369,14,,Viele Menschen nahmen _____ der Demonstration teil.,an,Viele Menschen nahmen an der Demonstration teil.,Many people participated in the demonstration.,De nombreuses personnes ont participé à la manifestation.,,,teilnehmen,teilnehmen an,to participate in = teilnehmen an + Dative,participer à = teilnehmen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to participate in = teilnehmen an + Dative<br>to introduce a point of reference → an + Dat.,participer à = teilnehmen an + Datif<br>pour introduire un point de référence → an + Dat.
370,14,,Er hat _____ einem Marathon in Berlin teilgenommen.,an,Er hat an einem Marathon in Berlin teilgenommen.,He participated in a marathon in Berlin.,Il a participé à un marathon à Berlin.,,,teilnehmen,teilnehmen an,to participate in = teilnehmen an + Dative,participer à = teilnehmen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to participate in = teilnehmen an + Dative<br>to introduce a point of reference → an + Dat.,participer à = teilnehmen an + Datif<br>pour introduire un point de référence → an + Dat.
371,14,,Ich nehme regelmäßig _____ Sprachkursen teil.,an,Ich nehme regelmäßig an Sprachkursen teil.,I regularly take part in language courses.,Je participe régulièrement à des cours de langues.,,,teilnehmen,teilnehmen an,to participate in = teilnehmen an + Dative,participer à = teilnehmen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to participate in = teilnehmen an + Dative<br>to introduce a point of reference → an + Dat.,participer à = teilnehmen an + Datif<br>pour introduire un point de référence → an + Dat.
372,14,,Er leidet _____ einer chronischen Krankheit.,an,Er leidet an einer chronischen Krankheit.,He suffers from a chronic illness.,Il souffre d'une maladie chronique.,,,leiden,leiden an,to suffer from (an ailment) = leiden an + Dative,souffrir de (une maladie) = leiden an + Datif,to introduce a cause → an + Dat.,pour introduire une cause → an + Dat.,to suffer from (an ailment) = leiden an + Dative<br>to introduce a cause → an + Dat.,souffrir de (une maladie) = leiden an + Datif<br>pour introduire une cause → an + Dat.
373,14,,Nach dem Marathon litt er _____ Körperschmerzen.,an,Nach dem Marathon litt er an Körperschmerzen.,He suffered from body aches after the marathon.,Il souffrait de courbatures après le marathon.,,,leiden,leiden an,to suffer from (an ailment) = leiden an + Dative,souffrir de (une maladie) = leiden an + Datif,to introduce a cause → an + Dat.,pour introduire une cause → an + Dat.,to suffer from (an ailment) = leiden an + Dative<br>to introduce a cause → an + Dat.,souffrir de (une maladie) = leiden an + Datif<br>pour introduire une cause → an + Dat.
374,14,,Sie leidet seit Jahren _____ Schlafstörungen.,an,Sie leidet seit Jahren an Schlafstörungen.,She has suffered from sleep disorders for years.,Elle souffre de troubles du sommeil depuis des années.,,,leiden,leiden an,to suffer from (an ailment) = leiden an + Dative,souffrir de (une maladie) = leiden an + Datif,to introduce a cause → an + Dat.,pour introduire une cause → an + Dat.,to suffer from (an ailment) = leiden an + Dative<br>to introduce a cause → an + Dat.,souffrir de (une maladie) = leiden an + Datif<br>pour introduire une cause → an + Dat.
375,14,,Sie leidet _____ der Einsamkeit nach dem Umzug.,unter,Sie leidet unter der Einsamkeit nach dem Umzug.,She suffers from loneliness after the move.,Elle souffre de solitude après le déménagement.,,,leiden,leiden unter,to suffer from (circumstances) = leiden unter + Dative,souffrir de (circonstances) = leiden unter + Datif,to introduce a position of weakness → unter + Dat.,pour introduire une position de faiblesse → unter + Dat.,to suffer from (circumstances) = leiden unter + Dative<br>to introduce a position of weakness → unter + Dat.,souffrir de (circonstances) = leiden unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.
