Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
306,7,Ich gehe jetzt _____ Hause.,nach,Ich gehe jetzt nach Hause.,I'm going home now.,Je rentre à la maison maintenant.,"to indicate a direction to home in combination with ""Hause"" → nach + Dat.","pour indiquer une direction vers chez soi en combinaison avec ""Hause"" → nach + Dat.",,
307,7,Wir fahren spät _____ Hause.,nach,Wir fahren spät nach Hause.,We're going home late.,Nous rentrons tard à la maison.,"to indicate a direction to home in combination with ""Hause"" → nach + Dat.","pour indiquer une direction vers chez soi en combinaison avec ""Hause"" → nach + Dat.",,
308,7,Er kommt um 18 Uhr _____ Hause.,nach,Er kommt um 18 Uhr nach Hause.,He comes home at 6 pm.,Il rentre à la maison à 18 heures.,"to indicate a direction to home in combination with ""Hause"" → nach + Dat.","pour indiquer une direction vers chez soi en combinaison avec ""Hause"" → nach + Dat.",,
309,7,Sie will sofort _____ Hause gehen.,nach,Sie will sofort nach Hause gehen.,She wants to go home straight away.,Elle veut rentrer chez elle tout de suite.,"to indicate a direction to home in combination with ""Hause"" → nach + Dat.","pour indiquer une direction vers chez soi en combinaison avec ""Hause"" → nach + Dat.",,
310,7,Nach der Arbeit gehe ich direkt _____ Hause.,nach,Nach der Arbeit gehe ich direkt nach Hause.,I'm going straight home after work.,Je rentre directement à la maison après le travail.,"to indicate a direction to home in combination with ""Hause"" → nach + Dat.","pour indiquer une direction vers chez soi en combinaison avec ""Hause"" → nach + Dat.",,
311,7,Ich gehe _____ Arzt.,zum,Ich gehe zum Arzt.,I'm going to the doctor.,Je vais chez le médecin.,"to indicate a direction to a place involving other people – a shop, an institution, an event → zu + Dat.","pour indiquer une direction vers un lieu impliquant d’autres personnes – un magasin, une institution, un événement → zu + Dat.",,
312,7,Wir fahren _____ Schule.,zur,Wir fahren zur Schule.,We drive to school.,Nous allons à l'école en voiture.,"to indicate a direction to a place involving other people – a shop, an institution, an event → zu + Dat.","pour indiquer une direction vers un lieu impliquant d’autres personnes – un magasin, une institution, un événement → zu + Dat.",,
313,7,Er geht _____ Arbeit.,zur,Er geht zur Arbeit.,He goes to work.,Il va au travail.,"to indicate a direction to a place involving other people – a shop, an institution, an event → zu + Dat.","pour indiquer une direction vers un lieu impliquant d’autres personnes – un magasin, une institution, un événement → zu + Dat.",,
314,7,Ich bringe das Paket _____ Post.,zur,Ich bringe das Paket zur Post.,I am taking the package to the post office.,J'apporte le colis à la poste.,"to indicate a direction to a place involving other people – a shop, an institution, an event → zu + Dat.","pour indiquer une direction vers un lieu impliquant d’autres personnes – un magasin, une institution, un événement → zu + Dat.",,
315,7,Die Kinder laufen _____ Supermarkt.,zum,Die Kinder laufen zum Supermarkt.,The children run to the supermarket.,Les enfants courent au supermarché.,"to indicate a direction to a place involving other people – a shop, an institution, an event → zu + Dat.","pour indiquer une direction vers un lieu impliquant d’autres personnes – un magasin, une institution, un événement → zu + Dat.",,
316,7,Ich gehe _____ zur Ecke.,bis,Ich gehe bis zur Ecke.,I walk up to the corner.,Je marche jusqu'au coin.,to indicate a direction up to a certain place → bis + Acc.,pour indiquer une direction jusqu'à un certain lieu → bis + Acc.,,
317,7,Fahr _____ zur nächsten Haltestelle.,bis,Fahr bis zur nächsten Haltestelle.,Ride until the next stop.,Roulez jusqu'au prochain arrêt.,to indicate a direction up to a certain place → bis + Acc.,pour indiquer une direction jusqu'à un certain lieu → bis + Acc.,,
318,7,Wir laufen _____ zum Park.,bis,Wir laufen bis zum Park.,We’re walking as far as the park.,Nous marchons jusqu’au parc.,to indicate a direction up to a certain place → bis + Acc.,pour indiquer une direction jusqu'à un certain lieu → bis + Acc.,,
319,7,Der Zug fährt _____ nach München.,bis,Der Zug fährt bis nach München.,The train goes as far as Munich.,Le train va jusqu'à Munich.,to indicate a direction up to a certain place → bis + Acc.,pour indiquer une direction jusqu'à un certain lieu → bis + Acc.,,
320,7,Geh _____ zur Ampel und dann links.,bis,Geh bis zur Ampel und dann links.,Go up to the traffic light and then left.,Allez jusqu'au feu puis à gauche.,to indicate a direction up to a certain place → bis + Acc.,pour indiquer une direction jusqu'à un certain lieu → bis + Acc.,,
321,7,Sie trinkt _____ einer Tasse.,aus,Sie trinkt aus einer Tasse.,She drinks from a cup.,Elle boit dans une tasse.,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",,
322,7,Das Wasser kommt _____ der Flasche.,aus,Das Wasser kommt aus der Flasche.,The water comes out of the bottle.,L'eau sort de la bouteille.,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",,
323,7,Er geht _____ dem Haus.,aus,Er geht aus dem Haus.,He goes out of the house.,Il sort de la maison.,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",,
324,7,Ich nehme das Buch _____ dem Regal.,aus,Ich nehme das Buch aus dem Regal.,I take the book from the shelf.,Je prends le livre sur l'étagère.,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",,
325,7,Sie steigt _____ dem Bus.,aus,Sie steigt aus dem Bus.,She gets out of the bus.,Elle sort du bus.,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",,
326,7,Ich komme gerade _____ der Arbeit.,von,Ich komme gerade von der Arbeit.,I just came from work.,Je viens de rentrer du travail.,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",,
327,7,Er fährt _____ der Schule nach Hause.,von,Er fährt von der Schule nach Hause.,He is driving home from school.,Il rentre de l'école en voiture.,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",,
328,7,Wir kommen _____ einer langen Reise.,von,Wir kommen von einer langen Reise.,We are coming from a long trip.,Nous revenons d'un long voyage.,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",,
329,7,Sie kommt gerade _____ ihren Großeltern.,von,Sie kommt gerade von ihren Großeltern.,She has just come from her grandparents' house.,Elle vient de sortir de la maison de ses grands-parents.,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",,
330,7,Der Zug fährt _____ Hamburg nach München.,von,Der Zug fährt von Hamburg nach München.,The train is traveling from Hamburg to Munich.,Le train voyage de Hambourg à Munich.,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",,
331,8,Das kostet fünf Euro _____ Person.,pro,Das kostet fünf Euro pro Person.,That costs five euros per person.,Cela coûte cinq euros par personne.,to indicate the basic unit when dividing a quantity → pro + Acc.,pour indiquer l'unité de base lors de la division d'une quantité → pro + Acc.,,
332,8,Es regnet 2 mm _____ Quadratmeter.,pro,Es regnet 2 mm pro Quadratmeter.,It is raining 2 mm per square meter.,Il pleut 2 mm par mètre carré.,to indicate the basic unit when dividing a quantity → pro + Acc.,pour indiquer l'unité de base lors de la division d'une quantité → pro + Acc.,,
333,8,Bananen kosten vier Euro _____ Kilo.,pro,Bananen kosten vier Euro pro Kilo.,Bananas cost four euros per kilo.,Les bananes coûtent quatre euros le kilo.,to indicate the basic unit when dividing a quantity → pro + Acc.,pour indiquer l'unité de base lors de la division d'une quantité → pro + Acc.,,
334,8,"Ein Bier _____ Person, bitte!",pro,"Ein Bier pro Person, bitte!","One beer per person, please!","Une bière par personne, s'il vous plaît !",to indicate the basic unit when dividing a quantity → pro + Acc.,pour indiquer l'unité de base lors de la division d'une quantité → pro + Acc.,,
335,8,Es gab 1.000 Mark Belohnung _____ Kopf.,pro,Es gab 1.000 Mark Belohnung pro Kopf.,"There was a reward of 1,000 marks per person.",Il y avait une récompense de 1 000 marks par personne.,to indicate the basic unit when dividing a quantity → pro + Acc.,pour indiquer l'unité de base lors de la division d'une quantité → pro + Acc.,,
336,8,Der Film ist _____ Deutsch.,auf,Der Film ist auf Deutsch.,The movie is in German.,Le film est en allemand.,to indicate a language → auf,pour indiquer une langue → auf,,
337,8,Können Sie das bitte _____ Englisch sagen?,auf,Können Sie das bitte auf Englisch sagen?,Can you please say that in English?,Peux-tu s'il te plaît dire ça en anglais ?,to indicate a language → auf,pour indiquer une langue → auf,,
338,8,Wir schreiben den Brief _____ Französisch.,auf,Wir schreiben den Brief auf Französisch.,We are writing the letter in French.,Nous écrivons la lettre en français.,to indicate a language → auf,pour indiquer une langue → auf,,
339,8,Die Präsentation war _____ Spanisch.,auf,Die Präsentation war auf Spanisch.,The presentation was in Spanish.,La présentation était en espagnol.,to indicate a language → auf,pour indiquer une langue → auf,,
340,8,Ich habe das Buch _____ Italienisch gelesen.,auf,Ich habe das Buch auf Italienisch gelesen.,I read the book in Italian.,J'ai lu le livre en italien.,to indicate a language → auf,pour indiquer une langue → auf,,
341,8,Ich gehe _____ Fuss.,zu,Ich gehe zu Fuss.,I go on foot.,Je vais à pied.,to indicate the mode of locomotion on foot → zu + Dat.,pour indiquer le mode de locomotion à pied → zu + Dat.,,
342,8,Ich gehe jeden Tag _____ Fuß zur Arbeit.,zu,Ich gehe jeden Tag zu Fuß zur Arbeit.,I walk to work every day.,Je vais au travail à pied tous les jours.,to indicate the mode of locomotion on foot → zu + Dat.,pour indiquer le mode de locomotion à pied → zu + Dat.,,
343,8,"Ich gehe jeden Morgen _____ Fuß zur Arbeit, weil das Wetter schön ist.",zu,"Ich gehe jeden Morgen zu Fuß zur Arbeit, weil das Wetter schön ist.",I go to work every morning because the weather is beautiful.,Je vais au travail tous les matins parce qu'il fait beau.,to indicate the mode of locomotion on foot → zu + Dat.,pour indiquer le mode de locomotion à pied → zu + Dat.,,
344,8,Wir sind gestern _____ Fuß in die Stadt gegangen und haben ein Eis gegessen.,zu,Wir sind gestern zu Fuß in die Stadt gegangen und haben ein Eis gegessen.,We walked into the city yesterday and ate ice cream.,Nous sommes allés en ville hier et avons mangé de la glace.,to indicate the mode of locomotion on foot → zu + Dat.,pour indiquer le mode de locomotion à pied → zu + Dat.,,
345,8,Die Kinder gehen _____ Fuß zur Schule.,zu,Die Kinder gehen zu Fuß zur Schule.,The children walk to school.,Les enfants marchent jusqu'à l'école.,to indicate the mode of locomotion on foot → zu + Dat.,pour indiquer le mode de locomotion à pied → zu + Dat.,,
346,8,Das kostet zwischen 50 _____ 60 Euro.,bis,Das kostet zwischen 50 bis 60 Euro.,That costs between 50 to 60 euros.,Cela coûte entre 50 et 60 euros.,to indicate an upper limit → bis + Acc.,pour indiquer une limite supérieure → bis + Acc.,,
347,8,Wir erwarten 20 _____ 30 Teilnehmer.,bis,Wir erwarten 20 bis 30 Teilnehmer.,We’re expecting 20 to 30 participants.,Nous attendons 20 à 30 participants.,to indicate an upper limit → bis + Acc.,pour indiquer une limite supérieure → bis + Acc.,,
