Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
280,10,Die Medikamente haben eine schnelle Wirkung _____ die Schmerzen.,auf,Die Medikamente haben eine schnelle Wirkung auf die Schmerzen.,The medication has a quick effect on the pain.,Le médicament a un effet rapide sur la douleur.,,,die Wirkung auf,the effect on = die Wirkung auf + Accusative,l'effet sur = die Wirkung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the effect on = die Wirkung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'effet sur = die Wirkung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
281,10,Seine Rede hatte eine starke Wirkung _____ das Publikum.,auf,Seine Rede hatte eine starke Wirkung auf das Publikum.,His speech had a strong effect on the audience.,Son discours a eu un fort effet sur le public.,,,die Wirkung auf,the effect on = die Wirkung auf + Accusative,l'effet sur = die Wirkung auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the effect on = die Wirkung auf + Accusative<br><br>to introduce an object of focus or a target → auf,l'effet sur = die Wirkung auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
282,10,Der Kampf _____ soziale Gerechtigkeit ist noch nicht beendet.,für,Der Kampf für soziale Gerechtigkeit ist noch nicht beendet.,The fight for social justice is not yet over.,La lutte pour la justice sociale n’est pas encore terminée.,,,der Kampf für,the fight for (something abstract) = der Kampf für + Accusative,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif,to introduce a purpose or a beneficiary → für,pour introduire un but ou un bénéficiaire → für,the fight for (something abstract) = der Kampf für + Accusative<br><br>to introduce a purpose or a beneficiary → für,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif<br><br>pour introduire un but ou un bénéficiaire → für
283,10,Ihr Kampf _____ bessere Arbeitsbedingungen hat sich gelohnt.,für,Ihr Kampf für bessere Arbeitsbedingungen hat sich gelohnt.,Her fight for better working conditions paid off.,Son combat pour de meilleures conditions de travail a porté ses fruits.,,,der Kampf für,the fight for (something abstract) = der Kampf für + Accusative,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif,to introduce a purpose or a beneficiary → für,pour introduire un but ou un bénéficiaire → für,the fight for (something abstract) = der Kampf für + Accusative<br><br>to introduce a purpose or a beneficiary → für,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif<br><br>pour introduire un but ou un bénéficiaire → für
284,10,Sein Kampf _____ die Freiheit machte ihn berühmt.,für,Sein Kampf für die Freiheit machte ihn berühmt.,His fight for freedom made him famous.,Son combat pour la liberté l’a rendu célèbre.,,,der Kampf für,the fight for (something abstract) = der Kampf für + Accusative,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif,to introduce a purpose or a beneficiary → für,pour introduire un but ou un bénéficiaire → für,the fight for (something abstract) = der Kampf für + Accusative<br><br>to introduce a purpose or a beneficiary → für,la lutte pour (quelque chose d'abstrait) = der Kampf für + Accusatif<br><br>pour introduire un but ou un bénéficiaire → für
285,10,Der Kampf _____ die Führung war hart.,um,Der Kampf um die Führung war hart.,The fight for leadership was tough.,La lutte pour le leadership a été rude.,,,der Kampf um,the fight for (something concrete) = der Kampf um + Accusative,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the fight for (something concrete) = der Kampf um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
286,10,Ihr Kampf _____ Anerkennung dauerte Jahre.,um,Ihr Kampf um Anerkennung dauerte Jahre.,Her fight for recognition lasted years.,Son combat pour la reconnaissance a duré des années.,,,der Kampf um,the fight for (something concrete) = der Kampf um + Accusative,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the fight for (something concrete) = der Kampf um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
287,10,Sein Kampf _____ Gerechtigkeit machte ihn in der ganzen Stadt bekannt.,um,Sein Kampf um Gerechtigkeit machte ihn in der ganzen Stadt bekannt.,His struggle for justice made him known throughout the city.,Son combat pour la justice l’a rendu célèbre dans toute la ville.,,,der Kampf um,the fight for (something concrete) = der Kampf um + Accusative,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the fight for (something concrete) = der Kampf um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la lutte pour (quelque chose de concret) = der Kampf um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
288,10,Der Streit _____ das Budget dauerte Stunden.,über,Der Streit über das Budget dauerte Stunden.,The argument about the budget lasted for hours.,La discussion sur le budget a duré des heures.,,,der Streit über,the argument about = der Streit über + Accusative,la dispute à propos de = der Streit über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the argument about = der Streit über + Accusative<br><br>to introduce a general subject → über,la dispute à propos de = der Streit über + Accusatif<br><br>pour introduire un sujet général → über
289,10,Ihr Streit _____ die Zukunftspläne endete ohne Ergebnis.,über,Ihr Streit über die Zukunftspläne endete ohne Ergebnis.,Their argument about future plans ended without a result.,Leur dispute sur les projets futurs s'est terminée sans résultat.,,,der Streit über,the argument about = der Streit über + Accusative,la dispute à propos de = der Streit über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the argument about = der Streit über + Accusative<br><br>to introduce a general subject → über,la dispute à propos de = der Streit über + Accusatif<br><br>pour introduire un sujet général → über
290,10,Sein Streit _____ die Zuständigkeiten führte zu Spannungen im Team.,über,Sein Streit über die Zuständigkeiten führte zu Spannungen im Team.,His argument about responsibilities led to tensions in the team.,Sa dispute à propos des responsabilités a provoqué des tensions dans l’équipe.,,,der Streit über,the argument about = der Streit über + Accusative,la dispute à propos de = der Streit über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the argument about = der Streit über + Accusative<br><br>to introduce a general subject → über,la dispute à propos de = der Streit über + Accusatif<br><br>pour introduire un sujet général → über
291,10,Der Streit _____ seinem Bruder war schnell vergessen.,mit,Der Streit mit seinem Bruder war schnell vergessen.,The argument with his brother was quickly forgotten.,La dispute avec son frère fut vite oubliée.,,,der Streit mit,the argument with = der Streit mit + Dative,la dispute avec = der Streit mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the argument with = der Streit mit + Dative<br><br>to introduce a partner → mit,la dispute avec = der Streit mit + Datif<br><br>pour introduire un partenaire → mit
292,10,Ihr Streit _____ der Kollegin eskalierte schnell.,mit,Ihr Streit mit der Kollegin eskalierte schnell.,Her argument with the colleague escalated quickly.,Sa dispute avec son collègue a rapidement dégénéré.,,,der Streit mit,the argument with = der Streit mit + Dative,la dispute avec = der Streit mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the argument with = der Streit mit + Dative<br><br>to introduce a partner → mit,la dispute avec = der Streit mit + Datif<br><br>pour introduire un partenaire → mit
293,10,Sein Streit _____ dem Trainer endete nach einem klärenden Gespräch.,mit,Sein Streit mit dem Trainer endete nach einem klärenden Gespräch.,His argument with the coach ended after a clarifying talk.,Sa dispute avec l’entraîneur s’est terminée après une discussion clarificatrice.,,,der Streit mit,the argument with = der Streit mit + Dative,la dispute avec = der Streit mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the argument with = der Streit mit + Dative<br><br>to introduce a partner → mit,la dispute avec = der Streit mit + Datif<br><br>pour introduire un partenaire → mit
294,10,Der Streit _____ das Erbe spaltete die Familie.,um,Der Streit um das Erbe spaltete die Familie.,The argument about the inheritance divided the family.,La dispute au sujet de l'héritage a divisé la famille.,,,der Streit um,the argument for = der Streit um + Accusative,la dispute à propos de = der Streit um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the argument for = der Streit um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la dispute à propos de = der Streit um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
295,10,Ihr Streit _____ die Zuständigkeiten eskalierte schnell.,um,Ihr Streit um die Zuständigkeiten eskalierte schnell.,Their argument about responsibilities escalated quickly.,Leur dispute sur les responsabilités s’est rapidement aggravée.,,,der Streit um,the argument for = der Streit um + Accusative,la dispute à propos de = der Streit um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the argument for = der Streit um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la dispute à propos de = der Streit um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
