Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
549,30,B1,,B2,,B1,probieren,die Probe,,"to try, to taste, to sample, to probe",the attempt,"essayer, goûter, échantillonner, sonder",Loading...,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",die Probe,the attempt,Loading...,Feminine,Féminin
550,30,B1,,B2,,,stehlen,der Diebstahl,,to steal,the theft,voler,le vol,stehlen,to steal,voler,der Diebstahl,the theft,le vol,Masculine,Masculin
551,30,B1,,B1,,A2,gründen,die Gründung,,"to found, to establish, to start","the founding, the foundation","fonder, établir, démarrer",la fondation,gründen,"to found, to establish, to start","fonder, établir, démarrer",die Gründung,"the founding, the foundation",la fondation,Feminine,Féminin
552,30,B1,,B2,,,erstellen,die Erstellung,,"to create, to prepare, to compile",the creation,"créer, préparer, compiler",Loading...,erstellen,"to create, to prepare, to compile","créer, préparer, compiler",die Erstellung,the creation,Loading...,Feminine,Féminin
553,30,B1,,B1,,A2,sammeln,die Sammlung,,"to collect, to gather, to accumulate",the collection,"recueillir, rassembler, accumuler",Loading...,sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler",die Sammlung,the collection,Loading...,Feminine,Féminin
554,30,B1,,C1,,,schieben,der Schub,,"to push, to shove, to wheel",the push,"pousser, bousculer, faire tourner",Loading...,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner",der Schub,the push,Loading...,Masculine,Masculin
555,30,B1,,C1,,,abholen,die Abholung,,"to pick up, to collect",the pickup,"ramasser, collecter",le ramassage,abholen,"to pick up, to collect","ramasser, collecter",die Abholung,the pickup,le ramassage,Feminine,Féminin
556,30,B1,,B1,,B1,greifen,der Griff,,"to grab, to grasp, to seize",the grip,"saisir, s'emparer",la poignée,greifen,"to grab, to grasp, to seize","saisir, s'emparer",der Griff,the grip,la poignée,Masculine,Masculin
557,30,B1,,A2,,A2,rennen,das Rennen,,"to run, to race, to sprint",the race,"courir, faire la course, sprinter",Loading...,rennen,"to run, to race, to sprint","courir, faire la course, sprinter",das Rennen,the race,Loading...,Neuter,Neutre
558,30,B1,,B2,,,entspannen,die Entspannung,,"to relax, to unwind",the relaxation,"se détendre, se relaxer",la détente,entspannen,"to relax, to unwind","se détendre, se relaxer",die Entspannung,the relaxation,la détente,Feminine,Féminin
559,30,B1,,B1,,,malen,die Gemälde,,"to paint, to draw",the painting,"peindre, dessiner",Loading...,malen,"to paint, to draw","peindre, dessiner",die Gemälde,the painting,Loading...,Feminine,Féminin
560,30,B1,,C1,,,besichtigen,die Besichtigung,,"to visit, to tour, to inspect",the visit,"visiter, faire un tour, inspecter",la visite,besichtigen,"to visit, to tour, to inspect","visiter, faire un tour, inspecter",die Besichtigung,the visit,la visite,Feminine,Féminin
561,30,B1,,C2+,,,erreichen,die Erreichung,,"to reach, to achieve, to attain",the achievement,"atteindre, réaliser, parvenir",Loading...,erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",die Erreichung,the achievement,Loading...,Feminine,Féminin
562,30,B1,,C1,,,verhindern,die Verhinderung,,"to prevent, to hinder, to stop",the prevention,"empêcher, entraver, arrêter",Loading...,verhindern,"to prevent, to hinder, to stop","empêcher, entraver, arrêter",die Verhinderung,the prevention,Loading...,Feminine,Féminin
563,30,B1,,B2,,,buchen,die Buchung,,"to book, to reserve",the booking,réserver,Loading...,buchen,"to book, to reserve",réserver,die Buchung,the booking,Loading...,Feminine,Féminin
564,30,B1,,B1,,B1,schneiden,der Schnitt,,"to cut, to slice",the cut,"couper, trancher",la coupe,schneiden,"to cut, to slice","couper, trancher",der Schnitt,the cut,la coupe,Masculine,Masculin
565,30,B1,,B2,,B1,entstehen,die Entstehung,,"to arise, to develop, to come into being",the emergence,"surgir, se développer, naître",Loading...,entstehen,"to arise, to develop, to come into being","surgir, se développer, naître",die Entstehung,the emergence,Loading...,Feminine,Féminin
566,30,B1,,C1,,,gelten,die Gültigkeit,,"to apply, to be valid, to count",the validity,"appliquer, être valide, compter",Loading...,gelten,"to apply, to be valid, to count","appliquer, être valide, compter",die Gültigkeit,the validity,Loading...,Feminine,Féminin
567,31,B1,282,B2,,B1,die Sicherung,sichern,,the fuse,"to secure, to safeguard, to back up",la sauvegarde,"sécuriser, sauvegarder",sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",die Sicherung,the fuse,la sauvegarde,,
568,31,B1,283,C1,,,die Beantwortung,beantworten,,the response,"to answer, to reply to (transitive)",Loading...,"répondre, répliquer à (transitif)",beantworten,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)",die Beantwortung,the response,Loading...,,
569,31,B1,289,B1,,,die Warnung,warnen,,the warning,"to warn, to caution",Loading...,"avertir, mettre en garde",warnen,"to warn, to caution","avertir, mettre en garde",die Warnung,the warning,Loading...,,
570,31,B1,290,C1,,,die Klärung,klären,,the clarification,"to clarify, to resolve, to clear up",Loading...,"clarifier, résoudre, éclaircir",klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir",die Klärung,the clarification,Loading...,,
571,31,B1,293,B2,,B1,die Beschränkung,beschränken,,the limitation,"to limit, to restrict",Loading...,"limiter, restreindre",beschränken,"to limit, to restrict","limiter, restreindre",die Beschränkung,the limitation,Loading...,,
572,31,B1,294,B2,,B1,der Zwang,zwingen,,the compulsion,"to force, to compel",Loading...,"forcer, contraindre",zwingen,"to force, to compel","forcer, contraindre",der Zwang,the compulsion,Loading...,,
573,31,B1,295,B2,,A2,die Berücksichtigung,berücksichtigen,,the consideration,"to consider, to take into account",Loading...,"considérer, prendre en compte",berücksichtigen,"to consider, to take into account","considérer, prendre en compte",die Berücksichtigung,the consideration,Loading...,,
574,31,B1,296,B2,,B1,die Übertragung,übertragen,,the transmission,"to transfer, to transmit, to broadcast",Loading...,"transférer, transmettre, diffuser",übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",die Übertragung,the transmission,Loading...,,
575,31,B1,301,C2+,,,die Erzielung,erzielen,,the achievement,"to achieve, to obtain, to reach",Loading...,"atteindre, obtenir, parvenir",erzielen,"to achieve, to obtain, to reach","atteindre, obtenir, parvenir",die Erzielung,the achievement,Loading...,,
576,31,B1,302,B2,,,der Bestand,bestehen,,"the stock, the inventory","to pass, to exist, to consist, to insist",Loading...,"passer, exister, consister, insister",bestehen,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",der Bestand,"the stock, the inventory",Loading...,,
577,31,B1,304,A2,,A1,die Bildung,bilden,,the formation,"to form, to constitute, to educate",Loading...,"former, constituer, éduquer",bilden,"to form, to constitute, to educate","former, constituer, éduquer",die Bildung,the formation,Loading...,,
578,31,B1,307,B1,,B1,die Konzentration,konzentrieren,,the concentration,"to concentrate, to focus",Loading...,"se concentrer, se focaliser",konzentrieren,"to concentrate, to focus","se concentrer, se focaliser",die Konzentration,the concentration,Loading...,,
579,31,B1,311,B1,,B1,die Zerstörung,zerstören,,the destruction,"to destroy, to ruin",Loading...,"détruire, ruiner",zerstören,"to destroy, to ruin","détruire, ruiner",die Zerstörung,the destruction,Loading...,,
580,31,B1,313,C1,,,die Abgabe,abgeben,,the levy,"to submit, to hand in, to deliver",Loading...,"soumettre, remettre, livrer",abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer",die Abgabe,the levy,Loading...,,
581,31,B1,315,B2,,,die Absage,absagen,,"the cancellation, the rejection","to cancel, to call off",Loading...,annuler,absagen,"to cancel, to call off",annuler,die Absage,"the cancellation, the rejection",Loading...,,
582,31,B1,317,C1,,,das Gespür,spüren,,the sensation,"to feel, to sense, to perceive",Loading...,"sentir, pressentir, percevoir",spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir",das Gespür,the sensation,Loading...,,
583,31,B1,319,B1,,A1,das Lächeln,lächeln,,the smile,to smile,le sourire,sourire,lächeln,to smile,sourire,das Lächeln,the smile,le sourire,,
584,31,B1,320,C2+,,,die Empfindung,empfinden,,the sensation,"to feel, to sense, to perceive",Loading...,"sentir, pressentir, percevoir",empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir",die Empfindung,the sensation,Loading...,,
585,31,B1,321,B1,,A2,die Beobachtung,beobachten,,the observation,"to observe, to watch, to monitor",Loading...,"observer, surveiller",beobachten,"to observe, to watch, to monitor","observer, surveiller",die Beobachtung,the observation,Loading...,,
586,31,B1,322,B1,,B1,der Geruch,riechen,,the smell,"to smell, to scent, to sniff, to reek",Loading...,"sentir, flairer, renifler, empester",riechen,"to smell, to scent, to sniff, to reek","sentir, flairer, renifler, empester",der Geruch,the smell,Loading...,,
587,32,B1,,B2,,B1,sichern,die Sicherung,,"to secure, to safeguard, to back up",the fuse,"sécuriser, sauvegarder",la sauvegarde,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",die Sicherung,the fuse,la sauvegarde,Feminine,Féminin
588,32,B1,,C1,,,beantworten,die Beantwortung,,"to answer, to reply to (transitive)",the response,"répondre, répliquer à (transitif)",Loading...,beantworten,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)",die Beantwortung,the response,Loading...,Feminine,Féminin
589,32,B1,,B1,,,warnen,die Warnung,,"to warn, to caution",the warning,"avertir, mettre en garde",Loading...,warnen,"to warn, to caution","avertir, mettre en garde",die Warnung,the warning,Loading...,Feminine,Féminin
590,32,B1,,C1,,,klären,die Klärung,,"to clarify, to resolve, to clear up",the clarification,"clarifier, résoudre, éclaircir",Loading...,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir",die Klärung,the clarification,Loading...,Feminine,Féminin
591,32,B1,,B2,,B1,beschränken,die Beschränkung,,"to limit, to restrict",the limitation,"limiter, restreindre",Loading...,beschränken,"to limit, to restrict","limiter, restreindre",die Beschränkung,the limitation,Loading...,Feminine,Féminin
592,32,B1,,B2,,B1,zwingen,der Zwang,,"to force, to compel",the compulsion,"forcer, contraindre",Loading...,zwingen,"to force, to compel","forcer, contraindre",der Zwang,the compulsion,Loading...,Masculine,Masculin
593,32,B1,,B2,,A2,berücksichtigen,die Berücksichtigung,,"to consider, to take into account",the consideration,"considérer, prendre en compte",Loading...,berücksichtigen,"to consider, to take into account","considérer, prendre en compte",die Berücksichtigung,the consideration,Loading...,Feminine,Féminin
594,32,B1,,B2,,B1,übertragen,die Übertragung,,"to transfer, to transmit, to broadcast",the transmission,"transférer, transmettre, diffuser",Loading...,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",die Übertragung,the transmission,Loading...,Feminine,Féminin
595,32,B1,,C2+,,,erzielen,die Erzielung,,"to achieve, to obtain, to reach",the achievement,"atteindre, obtenir, parvenir",Loading...,erzielen,"to achieve, to obtain, to reach","atteindre, obtenir, parvenir",die Erzielung,the achievement,Loading...,Feminine,Féminin
596,32,B1,,B2,,,bestehen,der Bestand,,"to pass, to exist, to consist, to insist","the stock, the inventory","passer, exister, consister, insister",Loading...,bestehen,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",der Bestand,"the stock, the inventory",Loading...,Masculine,Masculin
597,32,B1,,A2,,A1,bilden,die Bildung,,"to form, to constitute, to educate",the formation,"former, constituer, éduquer",Loading...,bilden,"to form, to constitute, to educate","former, constituer, éduquer",die Bildung,the formation,Loading...,Feminine,Féminin
598,32,B1,,B1,,B1,konzentrieren,die Konzentration,,"to concentrate, to focus",the concentration,"se concentrer, se focaliser",Loading...,konzentrieren,"to concentrate, to focus","se concentrer, se focaliser",die Konzentration,the concentration,Loading...,Feminine,Féminin
599,32,B1,,B1,,B1,zerstören,die Zerstörung,,"to destroy, to ruin",the destruction,"détruire, ruiner",Loading...,zerstören,"to destroy, to ruin","détruire, ruiner",die Zerstörung,the destruction,Loading...,Feminine,Féminin
600,32,B1,,C1,,,abgeben,die Abgabe,,"to submit, to hand in, to deliver",the levy,"soumettre, remettre, livrer",Loading...,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer",die Abgabe,the levy,Loading...,Feminine,Féminin
601,32,B1,,B2,,,absagen,die Absage,,"to cancel, to call off","the cancellation, the rejection",annuler,Loading...,absagen,"to cancel, to call off",annuler,die Absage,"the cancellation, the rejection",Loading...,Feminine,Féminin
602,32,B1,,C1,,,spüren,das Gespür,,"to feel, to sense, to perceive",the sensation,"sentir, pressentir, percevoir",Loading...,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir",das Gespür,the sensation,Loading...,Neuter,Neutre
603,32,B1,,B1,,A1,lächeln,das Lächeln,,to smile,the smile,sourire,le sourire,lächeln,to smile,sourire,das Lächeln,the smile,le sourire,Neuter,Neutre
604,32,B1,,C2+,,,empfinden,die Empfindung,,"to feel, to sense, to perceive",the sensation,"sentir, pressentir, percevoir",Loading...,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir",die Empfindung,the sensation,Loading...,Feminine,Féminin
605,32,B1,,B1,,A2,beobachten,die Beobachtung,,"to observe, to watch, to monitor",the observation,"observer, surveiller",Loading...,beobachten,"to observe, to watch, to monitor","observer, surveiller",die Beobachtung,the observation,Loading...,Feminine,Féminin
606,32,B1,,B1,,B1,riechen,der Geruch,,"to smell, to scent, to sniff, to reek",the smell,"sentir, flairer, renifler, empester",Loading...,riechen,"to smell, to scent, to sniff, to reek","sentir, flairer, renifler, empester",der Geruch,the smell,Loading...,Masculine,Masculin
607,33,B1,326,B1,,B1,die Herstellung,herstellen,,the production,"to produce, to make, to establish",Loading...,"produire, fabriquer, établir",herstellen,"to produce, to make, to establish","produire, fabriquer, établir",die Herstellung,the production,Loading...,,
608,33,B1,327,B2,,B1,die Verteilung,verteilen,,the distribution,"to distribute, to allocate, to hand out",la distribution,"distribuer, attribuer",verteilen,"to distribute, to allocate, to hand out","distribuer, attribuer",die Verteilung,the distribution,la distribution,,
609,33,B1,328,B2,,,der Tritt,treten,,the kick,"to step, to kick, to enter",le coup de pied,"marcher, donner un coup de pied, entrer",treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer",der Tritt,the kick,le coup de pied,,
610,33,B1,329,C1,,,die Deckung,decken,,the cover,"to cover, to set (a table), to hedge",Loading...,"couvrir, dresser (une table), se protéger",decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger",die Deckung,the cover,Loading...,,
