Nr,level,question,answer,german,adjective,gender,case,article
926,14,Der Erfolg des _____ Mädchens ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Mädchens ist bewundernswert.,fleißig,Neutral,Genitiv,Bestimmt
927,14,Das Lob des _____ Lächelns war herzlich.,freundlichen,Das Lob des freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Bestimmt
928,14,Das ist das Buch _____ Lehrers.,klugen,Das ist das Buch klugen Lehrers.,klug,Maskulin,Genitiv,Ohne Artikel
929,14,Das ist das Spielzeug _____ Hundes.,alten,Das ist das Spielzeug alten Hundes.,alt,Maskulin,Genitiv,Ohne Artikel
930,14,Das ist das Gemälde _____ Künstlers.,schönen,Das ist das Gemälde schönen Künstlers.,schön,Maskulin,Genitiv,Ohne Artikel
931,14,Der Erfolg _____ Studenten ist bemerkenswert.,fleißigen,Der Erfolg fleißigen Studenten ist bemerkenswert.,fleißig,Maskulin,Genitiv,Ohne Artikel
932,14,Das Lob _____ Kellners war herzlich.,freundlichen,Das Lob freundlichen Kellners war herzlich.,freundlich,Maskulin,Genitiv,Ohne Artikel
933,14,Das ist das Buch _____ Lehrerin.,kluger,Das ist das Buch kluger Lehrerin.,klug,Feminin,Genitiv,Ohne Artikel
934,14,Das ist das Spielzeug _____ Katze.,alter,Das ist das Spielzeug alter Katze.,alt,Feminin,Genitiv,Ohne Artikel
935,14,Das ist das Gemälde _____ Künstlerin.,schöner,Das ist das Gemälde schöner Künstlerin.,schön,Feminin,Genitiv,Ohne Artikel
936,14,Der Erfolg _____ Schülerin ist bewundernswert.,fleißiger,Der Erfolg fleißiger Schülerin ist bewundernswert.,fleißig,Feminin,Genitiv,Ohne Artikel
937,14,Das Lob _____ Nachbarin war herzlich.,freundlicher,Das Lob freundlicher Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Ohne Artikel
938,14,Mein _____ Hund spielt gerne im Garten.,neuer,Mein neuer Hund spielt gerne im Garten.,neu,Maskulin,Nominativ,Possessivartikel
939,14,Sein _____ Vater arbeitet noch jeden Tag im Büro.,alter,Sein alter Vater arbeitet noch jeden Tag im Büro.,alt,Maskulin,Nominativ,Possessivartikel
940,14,Dein _____ Bruder ist wirklich freundlich.,großer,Dein großer Bruder ist wirklich freundlich.,groß,Maskulin,Nominativ,Possessivartikel
941,14,Unser _____ Lehrer erklärt die Themen immer geduldig.,kluger,Unser kluger Lehrer erklärt die Themen immer geduldig.,klug,Maskulin,Nominativ,Possessivartikel
942,14,Ihr _____ Sohn hat den Wettbewerb gewonnen.,stolzer,Ihr stolzer Sohn hat den Wettbewerb gewonnen.,stolz,Maskulin,Nominativ,Possessivartikel
943,14,Die Qualität meiner _____ Bücher ist hervorragend.,neuen,Die Qualität meiner neuen Bücher ist hervorragend.,neu,Plural,Genitiv,Possessivartikel
944,14,Die Geschichten seiner _____ Freunde sind spannend.,alten,Die Geschichten seiner alten Freunde sind spannend.,alt,Plural,Genitiv,Possessivartikel
945,14,Die Größe deiner _____ Taschen ist beeindruckend.,großen,Die Größe deiner großen Taschen ist beeindruckend.,groß,Plural,Genitiv,Possessivartikel
946,14,Die Erfolge unserer _____ Kinder werden gefeiert.,klugen,Die Erfolge unserer klugen Kinder werden gefeiert.,klug,Plural,Genitiv,Possessivartikel
947,14,Die Unterstützung ihrer _____ Eltern war entscheidend.,stolzen,Die Unterstützung ihrer stolzen Eltern war entscheidend.,stolz,Plural,Genitiv,Possessivartikel
948,14,Ich gebe meinem _____ Auto einen Ölwechsel.,neuen,Ich gebe meinem neuen Auto einen Ölwechsel.,neu,Neutral,Dativ,Possessivartikel
949,14,Er vertraut seinem _____ Haus bei jedem Sturm.,alten,Er vertraut seinem alten Haus bei jedem Sturm.,alt,Neutral,Dativ,Possessivartikel
950,14,"Wir helfen deinem _____ Zimmer, sauber zu bleiben.",großen,"Wir helfen deinem großen Zimmer, sauber zu bleiben.",groß,Neutral,Dativ,Possessivartikel
951,14,Sie widmet unserem _____ Kind ihre ganze Zeit.,klugen,Sie widmet unserem klugen Kind ihre ganze Zeit.,klug,Neutral,Dativ,Possessivartikel
952,14,Sie zeigt ihrem _____ Pferd den Weg zum Stall.,stolzen,Sie zeigt ihrem stolzen Pferd den Weg zum Stall.,stolz,Neutral,Dativ,Possessivartikel
953,14,Ich sehe meine _____ Bücher auf dem Tisch.,neuen,Ich sehe meine neuen Bücher auf dem Tisch.,neu,Plural,Akkusativ,Possessivartikel
954,14,Er besucht seine _____ Freunde in der Stadt.,alten,Er besucht seine alten Freunde in der Stadt.,alt,Plural,Akkusativ,Possessivartikel
955,14,Wir räumen deine _____ Taschen in den Schrank.,großen,Wir räumen deine großen Taschen in den Schrank.,groß,Plural,Akkusativ,Possessivartikel
956,14,Sie loben unsere _____ Kinder für ihre Arbeit.,klugen,Sie loben unsere klugen Kinder für ihre Arbeit.,klug,Plural,Akkusativ,Possessivartikel
957,14,Sie bewundern ihre _____ Eltern für ihre Geduld.,stolzen,Sie bewundern ihre stolzen Eltern für ihre Geduld.,stolz,Plural,Akkusativ,Possessivartikel
958,14,Ich sehe meine _____ Wohnung zum ersten Mal.,neue,Ich sehe meine neue Wohnung zum ersten Mal.,neu,Feminin,Akkusativ,Possessivartikel
959,14,Er trifft seine _____ Freundin im Café.,alte,Er trifft seine alte Freundin im Café.,alt,Feminin,Akkusativ,Possessivartikel
960,14,Du legst deine _____ Tasche auf den Boden.,große,Du legst deine große Tasche auf den Boden.,groß,Feminin,Akkusativ,Possessivartikel
961,14,Wir bewundern unsere _____ Tochter bei der Aufführung.,kluge,Wir bewundern unsere kluge Tochter bei der Aufführung.,klug,Feminin,Akkusativ,Possessivartikel
962,14,"Sie streichelt ihre _____ Katze, die schnurrt.",stolze,"Sie streichelt ihre stolze Katze, die schnurrt.",stolz,Feminin,Akkusativ,Possessivartikel
963,14,Die Farbe meiner _____ Tasche passt zu meinen Schuhen.,neuen,Die Farbe meiner neuen Tasche passt zu meinen Schuhen.,neu,Feminin,Genitiv,Possessivartikel
964,14,Die Erinnerungen seiner _____ Freundin bleiben unvergessen.,alten,Die Erinnerungen seiner alten Freundin bleiben unvergessen.,alt,Feminin,Genitiv,Possessivartikel
965,14,Die Stimme deiner _____ Schwester klingt sehr schön.,großen,Die Stimme deiner großen Schwester klingt sehr schön.,groß,Feminin,Genitiv,Possessivartikel
966,14,Die Meinung unserer _____ Lehrerin wird oft geschätzt.,klugen,Die Meinung unserer klugen Lehrerin wird oft geschätzt.,klug,Feminin,Genitiv,Possessivartikel
967,14,Die Geschichte ihrer _____ Tante ist faszinierend.,stolzen,Die Geschichte ihrer stolzen Tante ist faszinierend.,stolz,Feminin,Genitiv,Possessivartikel
968,14,Das ist die Idee meines _____ Freundes.,neuen,Das ist die Idee meines neuen Freundes.,neu,Maskulin,Genitiv,Possessivartikel
969,14,Wir gedenken seines _____ Vaters in der Zeremonie.,alten,Wir gedenken seines alten Vaters in der Zeremonie.,alt,Maskulin,Genitiv,Possessivartikel
970,14,Die Meinung deines _____ Bruders ist wichtig.,großen,Die Meinung deines großen Bruders ist wichtig.,groß,Maskulin,Genitiv,Possessivartikel
971,14,Die Unterstützung unseres _____ Lehrers war entscheidend.,klugen,Die Unterstützung unseres klugen Lehrers war entscheidend.,klug,Maskulin,Genitiv,Possessivartikel
972,14,Der Erfolg ihres _____ Sohnes wurde gefeiert.,stolzen,Der Erfolg ihres stolzen Sohnes wurde gefeiert.,stolz,Maskulin,Genitiv,Possessivartikel
973,14,Die Farbe meines _____ Autos ist beeindruckend.,neuen,Die Farbe meines neuen Autos ist beeindruckend.,neu,Neutral,Genitiv,Possessivartikel
974,14,Der Zustand seines _____ Hauses verschlechtert sich.,alten,Der Zustand seines alten Hauses verschlechtert sich.,alt,Neutral,Genitiv,Possessivartikel
975,14,Die Größe deines _____ Zimmers ist beeindruckend.,großen,Die Größe deines großen Zimmers ist beeindruckend.,groß,Neutral,Genitiv,Possessivartikel
976,14,Die Kreativität unseres _____ Kindes ist erstaunlich.,klugen,Die Kreativität unseres klugen Kindes ist erstaunlich.,klug,Neutral,Genitiv,Possessivartikel
977,14,Die Stärke ihres _____ Pferdes ist außergewöhnlich.,stolzen,Die Stärke ihres stolzen Pferdes ist außergewöhnlich.,stolz,Neutral,Genitiv,Possessivartikel
978,14,Mein _____ Auto ist sehr schnell.,neues,Mein neues Auto ist sehr schnell.,neu,Neutral,Nominativ,Possessivartikel
979,14,Sein _____ Haus steht in einem kleinen Dorf.,altes,Sein altes Haus steht in einem kleinen Dorf.,alt,Neutral,Nominativ,Possessivartikel
980,14,Dein _____ Zimmer hat einen schönen Ausblick.,großes,Dein großes Zimmer hat einen schönen Ausblick.,groß,Neutral,Nominativ,Possessivartikel
981,14,Unser _____ Kind löst gerne schwierige Rätsel.,kluges,Unser kluges Kind löst gerne schwierige Rätsel.,klug,Neutral,Nominativ,Possessivartikel
982,14,Ihr _____ Pferd gewann den ersten Preis.,stolzes,Ihr stolzes Pferd gewann den ersten Preis.,stolz,Neutral,Nominativ,Possessivartikel
983,14,Ich helfe meiner _____ Freundin beim Umzug.,neuen,Ich helfe meiner neuen Freundin beim Umzug.,neu,Feminin,Dativ,Possessivartikel
984,14,Er gibt seiner _____ Mutter ein Geschenk.,alten,Er gibt seiner alten Mutter ein Geschenk.,alt,Feminin,Dativ,Possessivartikel
985,14,Du vertraust deiner _____ Schwester mit deinem Geheimnis.,großen,Du vertraust deiner großen Schwester mit deinem Geheimnis.,groß,Feminin,Dativ,Possessivartikel
986,14,Wir danken unserer _____ Lehrerin für ihre Unterstützung.,klugen,Wir danken unserer klugen Lehrerin für ihre Unterstützung.,klug,Feminin,Dativ,Possessivartikel
987,14,Sie erzählt ihrer _____ Tante von ihrem Erfolg.,stolzen,Sie erzählt ihrer stolzen Tante von ihrem Erfolg.,stolz,Feminin,Dativ,Possessivartikel
988,14,Meine _____ Bücher sind sehr interessant.,neuen,Meine neuen Bücher sind sehr interessant.,neu,Plural,Nominativ,Possessivartikel
989,14,Seine _____ Freunde treffen sich jeden Freitag.,alten,Seine alten Freunde treffen sich jeden Freitag.,alt,Plural,Nominativ,Possessivartikel
990,14,Deine _____ Taschen stehen im Flur.,großen,Deine großen Taschen stehen im Flur.,groß,Plural,Nominativ,Possessivartikel
991,14,Unsere _____ Kinder lernen immer etwas Neues.,klugen,Unsere klugen Kinder lernen immer etwas Neues.,klug,Plural,Nominativ,Possessivartikel
992,14,Ihre _____ Eltern sind sehr glücklich.,stolzen,Ihre stolzen Eltern sind sehr glücklich.,stolz,Plural,Nominativ,Possessivartikel
993,14,Ich gebe meinen _____ Büchern einen besonderen Platz.,neuen,Ich gebe meinen neuen Büchern einen besonderen Platz.,neu,Plural,Dativ,Possessivartikel
994,14,Er hilft seinen _____ Freunden bei den Hausaufgaben.,alten,Er hilft seinen alten Freunden bei den Hausaufgaben.,alt,Plural,Dativ,Possessivartikel
995,14,Wir danken deinen _____ Taschen für die zusätzliche Hilfe.,großen,Wir danken deinen großen Taschen für die zusätzliche Hilfe.,groß,Plural,Dativ,Possessivartikel
996,14,Sie schenken unseren _____ Kindern viele Geschenke.,klugen,Sie schenken unseren klugen Kindern viele Geschenke.,klug,Plural,Dativ,Possessivartikel
997,14,Sie erzählen ihren _____ Eltern von ihrem Erfolg.,stolzen,Sie erzählen ihren stolzen Eltern von ihrem Erfolg.,stolz,Plural,Dativ,Possessivartikel
998,14,Meine _____ Wohnung ist sehr modern.,neue,Meine neue Wohnung ist sehr modern.,neu,Feminin,Nominativ,Possessivartikel
999,14,Seine _____ Freundin arbeitet in einer Bibliothek.,alte,Seine alte Freundin arbeitet in einer Bibliothek.,alt,Feminin,Nominativ,Possessivartikel
1000,14,Deine _____ Tasche liegt auf dem Tisch.,große,Deine große Tasche liegt auf dem Tisch.,groß,Feminin,Nominativ,Possessivartikel
1001,14,Unsere _____ Tochter lernt schnell.,kluge,Unsere kluge Tochter lernt schnell.,klug,Feminin,Nominativ,Possessivartikel
1002,14,Ihre _____ Katze sitzt auf dem Sofa.,stolze,Ihre stolze Katze sitzt auf dem Sofa.,stolz,Feminin,Nominativ,Possessivartikel
1003,14,Ich helfe meinem _____ Freund bei den Hausaufgaben.,neuen,Ich helfe meinem neuen Freund bei den Hausaufgaben.,neu,Maskulin,Dativ,Possessivartikel
1004,14,Er schenkt seinem _____ Vater ein Buch.,alten,Er schenkt seinem alten Vater ein Buch.,alt,Maskulin,Dativ,Possessivartikel
1005,14,Wir geben deinem _____ Bruder das Geschenk.,großen,Wir geben deinem großen Bruder das Geschenk.,groß,Maskulin,Dativ,Possessivartikel
1006,14,Sie dankt unserem _____ Lehrer für seine Unterstützung.,klugen,Sie dankt unserem klugen Lehrer für seine Unterstützung.,klug,Maskulin,Dativ,Possessivartikel
1007,14,Ihr _____ Sohn wurde ein Preis verliehen.,stolzem,Ihr stolzem Sohn wurde ein Preis verliehen.,stolz,Maskulin,Dativ,Possessivartikel
1008,14,Ich kaufe mein _____ Auto morgen.,neues,Ich kaufe mein neues Auto morgen.,neu,Neutral,Akkusativ,Possessivartikel
1009,14,Er renoviert sein _____ Haus in diesem Sommer.,altes,Er renoviert sein altes Haus in diesem Sommer.,alt,Neutral,Akkusativ,Possessivartikel
1010,14,Sie dekoriert dein _____ Zimmer mit Pflanzen.,großes,Sie dekoriert dein großes Zimmer mit Pflanzen.,groß,Neutral,Akkusativ,Possessivartikel
1011,14,Wir bewundern unser _____ Kind für seine Ideen.,kluges,Wir bewundern unser kluges Kind für seine Ideen.,klug,Neutral,Akkusativ,Possessivartikel
1012,14,Sie präsentiert ihr _____ Pferd auf dem Turnier.,stolzes,Sie präsentiert ihr stolzes Pferd auf dem Turnier.,stolz,Neutral,Akkusativ,Possessivartikel
1013,14,Ich sehe meinen _____ Hund im Park.,neuen,Ich sehe meinen neuen Hund im Park.,neu,Maskulin,Akkusativ,Possessivartikel
1014,14,Er besucht seinen _____ Freund in Berlin.,alten,Er besucht seinen alten Freund in Berlin.,alt,Maskulin,Akkusativ,Possessivartikel
1015,14,Wir haben deinen _____ Bruder gestern getroffen.,großen,Wir haben deinen großen Bruder gestern getroffen.,groß,Maskulin,Akkusativ,Possessivartikel
1016,14,Sie lobt unseren _____ Lehrer nach dem Unterricht.,klugen,Sie lobt unseren klugen Lehrer nach dem Unterricht.,klug,Maskulin,Akkusativ,Possessivartikel
1017,14,Ihr _____ Sohn hat gestern eine Rede gehalten.,stolzen,Ihr stolzen Sohn hat gestern eine Rede gehalten.,stolz,Maskulin,Akkusativ,Possessivartikel
1018,14,Die Qualität keiner _____ Bücher ist zufriedenstellend.,neuen,Die Qualität keiner neuen Bücher ist zufriedenstellend.,neu,Plural,Genitiv,Negationsartikel
1019,14,Die Geschichten keiner _____ Freunde wurden erzählt.,alten,Die Geschichten keiner alten Freunde wurden erzählt.,alt,Plural,Genitiv,Negationsartikel
1020,14,Die Größe keiner _____ Taschen ist praktisch.,großen,Die Größe keiner großen Taschen ist praktisch.,groß,Plural,Genitiv,Negationsartikel
1021,14,Die Ideen keiner _____ Kinder wurden berücksichtigt.,klugen,Die Ideen keiner klugen Kinder wurden berücksichtigt.,klug,Plural,Genitiv,Negationsartikel
1022,14,Die Unterstützung keiner _____ Eltern war hilfreich.,stolzen,Die Unterstützung keiner stolzen Eltern war hilfreich.,stolz,Plural,Genitiv,Negationsartikel
1023,14,Ich sehe keine _____ Bücher auf dem Tisch.,neuen,Ich sehe keine neuen Bücher auf dem Tisch.,neu,Plural,Akkusativ,Negationsartikel
1024,14,Er kennt keine _____ Freunde in der Stadt.,alten,Er kennt keine alten Freunde in der Stadt.,alt,Plural,Akkusativ,Negationsartikel
1025,14,Wir bringen keine _____ Taschen in den Raum.,großen,Wir bringen keine großen Taschen in den Raum.,groß,Plural,Akkusativ,Negationsartikel
1026,14,Sie loben keine _____ Kinder für ihre Arbeit.,klugen,Sie loben keine klugen Kinder für ihre Arbeit.,klug,Plural,Akkusativ,Negationsartikel
1027,14,Sie sehen keine _____ Eltern auf der Feier.,stolzen,Sie sehen keine stolzen Eltern auf der Feier.,stolz,Plural,Akkusativ,Negationsartikel
1028,14,Ich gebe keinem _____ Auto eine Chance.,neuen,Ich gebe keinem neuen Auto eine Chance.,neu,Neutral,Dativ,Negationsartikel
1029,14,Er hilft keinem _____ Haus bei der Renovierung.,alten,Er hilft keinem alten Haus bei der Renovierung.,alt,Neutral,Dativ,Negationsartikel
1030,14,Sie widmet keinem _____ Fenster ihre Aufmerksamkeit.,großen,Sie widmet keinem großen Fenster ihre Aufmerksamkeit.,groß,Neutral,Dativ,Negationsartikel
1031,14,Wir zeigen keinem _____ Kind unsere Lösung.,klugen,Wir zeigen keinem klugen Kind unsere Lösung.,klug,Neutral,Dativ,Negationsartikel
1032,14,Sie schenkt keinem _____ Pferd einen Blick.,stolzen,Sie schenkt keinem stolzen Pferd einen Blick.,stolz,Neutral,Dativ,Negationsartikel
1033,14,Ich finde keine _____ Wohnung in der Stadt.,neue,Ich finde keine neue Wohnung in der Stadt.,neu,Feminin,Akkusativ,Negationsartikel
1034,14,Er kennt keine _____ Freundin aus der Schule.,alte,Er kennt keine alte Freundin aus der Schule.,alt,Feminin,Akkusativ,Negationsartikel
1035,14,Sie trägt keine _____ Tasche zum Einkaufen.,große,Sie trägt keine große Tasche zum Einkaufen.,groß,Feminin,Akkusativ,Negationsartikel
1036,14,Wir unterstützen keine _____ Tochter bei der Arbeit.,kluge,Wir unterstützen keine kluge Tochter bei der Arbeit.,klug,Feminin,Akkusativ,Negationsartikel
1037,14,Sie füttert keine _____ Katze im Garten.,stolze,Sie füttert keine stolze Katze im Garten.,stolz,Feminin,Akkusativ,Negationsartikel
1038,14,Die Idee keines _____ Freundes war überzeugend.,neuen,Die Idee keines neuen Freundes war überzeugend.,neu,Maskulin,Genitiv,Negationsartikel
1039,14,Die Meinung keines _____ Mannes wurde gehört.,alten,Die Meinung keines alten Mannes wurde gehört.,alt,Maskulin,Genitiv,Negationsartikel
1040,14,Die Entscheidung keines _____ Bruders war relevant.,großen,Die Entscheidung keines großen Bruders war relevant.,groß,Maskulin,Genitiv,Negationsartikel
1041,14,Die Erklärung keines _____ Lehrers half uns weiter.,klugen,Die Erklärung keines klugen Lehrers half uns weiter.,klug,Maskulin,Genitiv,Negationsartikel
1042,14,Die Unterstützung keines _____ Vaters war notwendig.,stolzen,Die Unterstützung keines stolzen Vaters war notwendig.,stolz,Maskulin,Genitiv,Negationsartikel
1043,14,Die Farbe keiner _____ Tasche gefällt mir.,neuen,Die Farbe keiner neuen Tasche gefällt mir.,neu,Feminin,Genitiv,Negationsartikel
1044,14,Die Meinung keiner _____ Freundin war hilfreich.,alten,Die Meinung keiner alten Freundin war hilfreich.,alt,Feminin,Genitiv,Negationsartikel
1045,14,Die Größe keiner _____ Tasche war ausreichend.,großen,Die Größe keiner großen Tasche war ausreichend.,groß,Feminin,Genitiv,Negationsartikel
1046,14,Die Unterstützung keiner _____n Tochter wurde benötigt.,kluge,Die Unterstützung keiner klugen Tochter wurde benötigt.,klug,Feminin,Genitiv,Negationsartikel
1047,14,Die Aufmerksamkeit keiner _____n Katze war notwendig.,stolze,Die Aufmerksamkeit keiner stolzen Katze war notwendig.,stolz,Feminin,Genitiv,Negationsartikel
1048,14,Kein _____ Auto steht auf dem Parkplatz.,neues,Kein neues Auto steht auf dem Parkplatz.,neu,Neutral,Nominativ,Negationsartikel
1049,14,Kein _____ Haus wird renoviert.,altes,Kein altes Haus wird renoviert.,alt,Neutral,Nominativ,Negationsartikel
1050,14,Kein _____ Fenster ist offen.,großes,Kein großes Fenster ist offen.,groß,Neutral,Nominativ,Negationsartikel
1051,14,Kein _____ Kind hat die Antwort gefunden.,kluges,Kein kluges Kind hat die Antwort gefunden.,klug,Neutral,Nominativ,Negationsartikel
1052,14,Kein _____ Pferd ist im Stall.,stolzes,Kein stolzes Pferd ist im Stall.,stolz,Neutral,Nominativ,Negationsartikel
1053,14,Die Farbe keines _____ Autos ist so schön.,neuen,Die Farbe keines neuen Autos ist so schön.,neu,Neutral,Genitiv,Negationsartikel
1054,14,Die Geschichte keines _____ Hauses wurde erzählt.,alten,Die Geschichte keines alten Hauses wurde erzählt.,alt,Neutral,Genitiv,Negationsartikel
1055,14,Die Größe keines _____ Fensters war beeindruckend.,großen,Die Größe keines großen Fensters war beeindruckend.,groß,Neutral,Genitiv,Negationsartikel
1056,14,Die Idee keines _____ Kindes war nützlich.,klugen,Die Idee keines klugen Kindes war nützlich.,klug,Neutral,Genitiv,Negationsartikel
1057,14,Die Stärke keines _____ Pferdes war ausreichend.,stolzen,Die Stärke keines stolzen Pferdes war ausreichend.,stolz,Neutral,Genitiv,Negationsartikel
1058,14,Kein _____ Hund bellt in der Nachbarschaft.,neuer,Kein neuer Hund bellt in der Nachbarschaft.,neu,Maskulin,Nominativ,Negationsartikel
1059,14,Kein _____ Mann sitzt auf der Bank.,alter,Kein alter Mann sitzt auf der Bank.,alt,Maskulin,Nominativ,Negationsartikel
1060,14,Kein _____ Vogel fliegt über das Haus.,großer,Kein großer Vogel fliegt über das Haus.,groß,Maskulin,Nominativ,Negationsartikel
1061,14,Kein _____ Schüler hat die Antwort gewusst.,kluger,Kein kluger Schüler hat die Antwort gewusst.,klug,Maskulin,Nominativ,Negationsartikel
1062,14,Kein _____ Vater hat protestiert.,stolzer,Kein stolzer Vater hat protestiert.,stolz,Maskulin,Nominativ,Negationsartikel
1063,14,Ich helfe keiner _____ Freundin bei den Hausaufgaben.,neuen,Ich helfe keiner neuen Freundin bei den Hausaufgaben.,neu,Feminin,Dativ,Negationsartikel
1064,14,Er gibt keiner _____ Freundin ein Geschenk.,alten,Er gibt keiner alten Freundin ein Geschenk.,alt,Feminin,Dativ,Negationsartikel
1065,14,Du vertraust keiner _____ Tasche deine Wertsachen.,großen,Du vertraust keiner großen Tasche deine Wertsachen.,groß,Feminin,Dativ,Negationsartikel
1066,14,Wir danken keiner _____n Tochter für die Idee.,kluge,Wir danken keiner klugen Tochter für die Idee.,klug,Feminin,Dativ,Negationsartikel
1067,14,Sie schenkt keiner _____n Katze Aufmerksamkeit.,stolze,Sie schenkt keiner stolzen Katze Aufmerksamkeit.,stolz,Feminin,Dativ,Negationsartikel
1068,14,Ich gebe keinen _____ Büchern eine Chance.,neuen,Ich gebe keinen neuen Büchern eine Chance.,neu,Plural,Dativ,Negationsartikel
1069,14,Er hilft keinen _____ Freunden bei der Arbeit.,alten,Er hilft keinen alten Freunden bei der Arbeit.,alt,Plural,Dativ,Negationsartikel
1070,14,Wir danken keinen _____ Taschen für die Hilfe.,großen,Wir danken keinen großen Taschen für die Hilfe.,groß,Plural,Dativ,Negationsartikel
1071,14,Sie schenken keinen _____ Kindern Aufmerksamkeit.,klugen,Sie schenken keinen klugen Kindern Aufmerksamkeit.,klug,Plural,Dativ,Negationsartikel
1072,14,Sie erzählen keinen _____ Eltern von ihrem Erfolg.,stolzen,Sie erzählen keinen stolzen Eltern von ihrem Erfolg.,stolz,Plural,Dativ,Negationsartikel
1073,14,Keine _____ Bücher liegen auf dem Tisch.,neuen,Keine neuen Bücher liegen auf dem Tisch.,neu,Plural,Nominativ,Negationsartikel
1074,14,Keine _____ Freunde besuchen uns heute.,alten,Keine alten Freunde besuchen uns heute.,alt,Plural,Nominativ,Negationsartikel
1075,14,Keine _____ Taschen stehen im Flur.,großen,Keine großen Taschen stehen im Flur.,groß,Plural,Nominativ,Negationsartikel
1076,14,Keine _____ Kinder spielen im Garten.,klugen,Keine klugen Kinder spielen im Garten.,klug,Plural,Nominativ,Negationsartikel
1077,14,Keine _____ Eltern sind auf der Feier.,stolzen,Keine stolzen Eltern sind auf der Feier.,stolz,Plural,Nominativ,Negationsartikel
1078,14,Keine _____ Wohnung ist verfügbar.,neue,Keine neue Wohnung ist verfügbar.,neu,Feminin,Nominativ,Negationsartikel
1079,14,Keine _____ Freundin hat angerufen.,alte,Keine alte Freundin hat angerufen.,alt,Feminin,Nominativ,Negationsartikel
1080,14,Keine _____ Tasche liegt auf dem Tisch.,große,Keine große Tasche liegt auf dem Tisch.,groß,Feminin,Nominativ,Negationsartikel
1081,14,Keine _____ Tochter hat die Aufgabe gelöst.,kluge,Keine kluge Tochter hat die Aufgabe gelöst.,klug,Feminin,Nominativ,Negationsartikel
1082,14,Keine _____ Katze ist im Garten.,stolze,Keine stolze Katze ist im Garten.,stolz,Feminin,Nominativ,Negationsartikel
1083,14,Ich helfe keinem _____ Freund mit den Aufgaben.,neuen,Ich helfe keinem neuen Freund mit den Aufgaben.,neu,Maskulin,Dativ,Negationsartikel
1084,14,Er gibt keinem _____ Mann Geld.,alten,Er gibt keinem alten Mann Geld.,alt,Maskulin,Dativ,Negationsartikel
1085,14,Wir erzählen keinem _____ Bruder die Neuigkeiten.,großen,Wir erzählen keinem großen Bruder die Neuigkeiten.,groß,Maskulin,Dativ,Negationsartikel
1086,14,Sie vertraut keinem _____ Lehrer ihre Probleme an.,klugen,Sie vertraut keinem klugen Lehrer ihre Probleme an.,klug,Maskulin,Dativ,Negationsartikel
1087,14,Sie schenkt keinem _____ Vater Aufmerksamkeit.,stolzen,Sie schenkt keinem stolzen Vater Aufmerksamkeit.,stolz,Maskulin,Dativ,Negationsartikel
1088,14,Ich habe keinen _____ Hund gesehen.,neuen,Ich habe keinen neuen Hund gesehen.,neu,Maskulin,Akkusativ,Negationsartikel
1089,14,Er kennt keinen _____ Mann in der Stadt.,alten,Er kennt keinen alten Mann in der Stadt.,alt,Maskulin,Akkusativ,Negationsartikel
1090,14,Sie hört keinen _____ Vogel singen.,großen,Sie hört keinen großen Vogel singen.,groß,Maskulin,Akkusativ,Negationsartikel
1091,14,Wir fanden keinen _____ Schüler in der Klasse.,klugen,Wir fanden keinen klugen Schüler in der Klasse.,klug,Maskulin,Akkusativ,Negationsartikel
1092,14,Sie hat keinen _____ Vater gesehen.,stolzen,Sie hat keinen stolzen Vater gesehen.,stolz,Maskulin,Akkusativ,Negationsartikel
1093,14,Ich kaufe kein _____ Auto dieses Jahr.,neues,Ich kaufe kein neues Auto dieses Jahr.,neu,Neutral,Akkusativ,Negationsartikel
1094,14,Er sieht kein _____ Haus am Horizont.,altes,Er sieht kein altes Haus am Horizont.,alt,Neutral,Akkusativ,Negationsartikel
1095,14,Sie öffnet kein _____ Fenster im Zimmer.,großes,Sie öffnet kein großes Fenster im Zimmer.,groß,Neutral,Akkusativ,Negationsartikel
1096,14,Wir bewundern kein _____ Kind auf der Bühne.,kluges,Wir bewundern kein kluges Kind auf der Bühne.,klug,Neutral,Akkusativ,Negationsartikel
1097,14,Sie streichelt kein _____ Pferd auf der Wiese.,stolzes,Sie streichelt kein stolzes Pferd auf der Wiese.,stolz,Neutral,Akkusativ,Negationsartikel
1098,14,Ich sehe diesen _____ Schüler in der Bibliothek.,fleißigen,Ich sehe diesen fleißigen Schüler in der Bibliothek.,fleißig,Maskulin,Akkusativ,Demonstrative artikel
1099,14,Ich besuche diesen _____ Mann jeden Sonntag.,alten,Ich besuche diesen alten Mann jeden Sonntag.,alt,Maskulin,Akkusativ,Demonstrative artikel
1100,14,Ich bewundere diesen _____ Künstler für seine Werke.,jungen,Ich bewundere diesen jungen Künstler für seine Werke.,jung,Maskulin,Akkusativ,Demonstrative artikel
1101,14,Der Präsident begrüßt diesen _____ Politiker persönlich.,wichtigen,Der Präsident begrüßt diesen wichtigen Politiker persönlich.,wichtig,Maskulin,Akkusativ,Demonstrative artikel
1102,14,Wir laden diesen _____ Nachbarn zu unserer Feier ein.,netten,Wir laden diesen netten Nachbarn zu unserer Feier ein.,nett,Maskulin,Akkusativ,Demonstrative artikel
