Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
1142,17,,der Zwang,zu,,,,,,
1143,19,,immun,gegen,,immune to,,,,
1144,19,,süchtig,nach,,addicted to,,,,
1145,19,,erkrankt,an,,ill with,,,,
1146,19,,entsetzt,über,,,,,,
1147,19,,eifersüchtig,auf,,,,,,
1148,19,,neidisch,auf,,,,,,
1149,19,,geeignet,für,,,,,,
1150,20,,anrufen,bei,,to call at,Wo rufst du an?,Where are you calling?,Wo,_____ rufst du an?
1151,20,,hören,von,,to hear of,Wovon hast du gehört?,What have you heard about?,Wovon,_____ hast du gehört?
1152,20,,kommen,zu,,to come to,Wozu kommt es?,What does it lead to?,Wozu,_____ kommt es?
1153,20,,reden,über,,to talk about something,Worüber redest du?,What are you talking about?,Worüber,_____ redest du?
1154,20,,reden,von,,to talk of something,Wovon redest du?,What are you talking about?,Wovon,_____ redest du?
1155,20,,sagen,zu,,to say to,Wozu sagst du etwas?,What are you saying something about?,Wozu,_____ sagst du etwas?
1156,20,,verstehen,von,,to be versed in / skilled in,Wovon verstehst du etwas?,What do you understand about?,Wovon,_____ verstehst du etwas?
