Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,case,bedeutung
431,20,"Viele Studierende sind nervös, wenn sie zum ersten Mal eine mündliche Prüfung _____ müssen.",ablegen,eine Prüfung ablegen,"Viele Studierende sind nervös, wenn sie zum ersten Mal eine mündliche Prüfung ablegen müssen.",Many students are nervous when they have to take an oral exam for the first time.,Beaucoup d’étudiants sont nerveux quand ils doivent passer un examen oral pour la première fois.,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
432,20,Er hat mehrere Prüfungen an einem Tag _____ und war danach völlig erschöpft.,abgelegt,eine Prüfung ablegen,Er hat mehrere Prüfungen an einem Tag abgelegt und war danach völlig erschöpft.,He took several exams in one day and was completely exhausted afterward.,Il a passé plusieurs examens en une seule journée et était complètement épuisé après.,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
433,20,Bei der Abschlussfeier hat der beste Student eine inspirierende Rede _____.,gehalten,eine Rede halten,Bei der Abschlussfeier hat der beste Student eine inspirierende Rede gehalten.,"At the graduation ceremony, the top student delivered an inspiring speech.","Lors de la cérémonie de fin d’études, le meilleur étudiant a tenu un discours inspirant.",,,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,
434,20,"Wenn man eine gute Rede _____ will, sollte man sie vorher gründlich vorbereiten.",halten,eine Rede halten,"Wenn man eine gute Rede halten will, sollte man sie vorher gründlich vorbereiten.","If you want to give a good speech, you should prepare it thoroughly beforehand.","Si on veut prononcer un bon discours, il faut bien le préparer à l’avance.",,,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,
435,20,"Manche Menschen brauchen viel Zeit, bevor sie einen wichtigen Entschluss _____.",fassen,einen Entschluss fassen,"Manche Menschen brauchen viel Zeit, bevor sie einen wichtigen Entschluss fassen.",Some people need a lot of time before they make an important decision.,Certaines personnes ont besoin de beaucoup de temps avant de prendre une décision importante.,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
436,20,"Nachdem er alle Informationen gesammelt hatte, _____ er schließlich den Entschluss, das Angebot anzunehmen.",fasste,einen Entschluss fassen,"Nachdem er alle Informationen gesammelt hatte, fasste er schließlich den Entschluss, das Angebot anzunehmen.","After gathering all the information, he finally decided to accept the offer.","Après avoir rassemblé toutes les informations, il a finalement pris la décision d’accepter l’offre.",,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
437,20,Die Sitzung _____ schneller zum Abschluss als erwartet.,kam,zum Abschluss kommen,Die Sitzung kam schneller zum Abschluss als erwartet.,The meeting came to an end faster than expected.,La réunion s’est terminée plus rapidement que prévu.,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,
438,20,"Erst als beide Seiten einen Kompromiss fanden, konnte der Streit zum Abschluss _____.",kommen,zum Abschluss kommen,"Erst als beide Seiten einen Kompromiss fanden, konnte der Streit zum Abschluss kommen.",Only when both sides found a compromise could the dispute come to an end.,Ce n’est que lorsque les deux parties ont trouvé un compromis que le conflit a pu se terminer.,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,
439,20,"Sein Vater wollte unbedingt, dass er einen technischen Beruf _____.",ergreift,einen Beruf ergreifen,"Sein Vater wollte unbedingt, dass er einen technischen Beruf ergreift.",His father really wanted him to choose a technical profession.,Son père voulait absolument qu’il exerce un métier technique.,,,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
440,20,"Nachdem er verschiedene Praktika gemacht hatte, _____ er schließlich den Beruf des Lehrers.",ergriff,einen Beruf ergreifen,"Nachdem er verschiedene Praktika gemacht hatte, ergriff er schließlich den Beruf des Lehrers.","After doing several internships, he finally chose the teaching profession.","Après avoir fait plusieurs stages, il a finalement choisi d’exercer le métier d’enseignant.",,,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
441,20,"In der Diskussion konnte sie überzeugend Beweis _____, dass ihre Methode effektiver ist.",führen,Beweis führen,"In der Diskussion konnte sie überzeugend Beweis führen, dass ihre Methode effektiver ist.","In the discussion, she was able to convincingly prove that her method is more effective.","Lors de la discussion, elle a pu prouver de manière convaincante que sa méthode est plus efficace.",,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
442,20,"Der Forscher _____ den Beweis, dass die Theorie auch in der Praxis funktioniert.",führte,Beweis führen,"Der Forscher führte den Beweis, dass die Theorie auch in der Praxis funktioniert.",The researcher demonstrated that the theory also works in practice.,Le chercheur a apporté la preuve que la théorie fonctionne aussi en pratique.,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
443,20,"Uns wurde in Aussicht _____, dass das Projekt noch dieses Jahr abgeschlossen werden könnte.",gestellt,in Aussicht stellen,"Uns wurde in Aussicht gestellt, dass das Projekt noch dieses Jahr abgeschlossen werden könnte.",We were told that the project might be completed this year.,On nous a laissé entendre que le projet pourrait être terminé cette année.,,,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
444,20,"Der Verlag _____ ihr die Veröffentlichung ihres Buches in Aussicht, falls sie einige Kapitel überarbeitet.",stellte,in Aussicht stellen,"Der Verlag stellte ihr die Veröffentlichung ihres Buches in Aussicht, falls sie einige Kapitel überarbeitet.",The publisher promised her a publication of her book if she revises a few chapters.,L’éditeur lui a promis une publication de son livre si elle retravaille quelques chapitres.,,,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
445,20,"Das Unternehmen _____ verschiedene Lösungen in Betracht, um die Kosten zu senken.",zieht,in Betracht ziehen,"Das Unternehmen zieht verschiedene Lösungen in Betracht, um die Kosten zu senken.",The company is considering various solutions to reduce costs.,L’entreprise envisage plusieurs solutions pour réduire les coûts.,,,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
446,20,"Hast du in Betracht _____, dass die Ergebnisse falsch sein könnten?",gezogen,in Betracht ziehen,"Hast du in Betracht gezogen, dass die Ergebnisse falsch sein könnten?",Have you considered that the results might be wrong?,As-tu envisagé que les résultats pourraient être faux?,,,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
447,20,"In einer Beziehung ist es wichtig, auf die Bedürfnisse des anderen Rücksicht zu _____.",nehmen,Rücksicht nehmen,"In einer Beziehung ist es wichtig, auf die Bedürfnisse des anderen Rücksicht zu nehmen.","In a relationship, it’s important to be considerate of the other person's needs.","Dans une relation, il est important de prendre en compte les besoins de l’autre.",,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,
448,20,Beim Fahren sollte man immer Rücksicht auf schwächere Verkehrsteilnehmer _____.,nehmen,Rücksicht nehmen,Beim Fahren sollte man immer Rücksicht auf schwächere Verkehrsteilnehmer nehmen.,"When driving, one should always be considerate of more vulnerable road users.","En conduisant, on devrait toujours faire attention aux usagers de la route plus vulnérables.",,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,
449,20,"Der Service kann nur in Anspruch _____ werden, wenn man vorher einen Termin vereinbart.",genommen,in Anspruch nehmen,"Der Service kann nur in Anspruch genommen werden, wenn man vorher einen Termin vereinbart.",The service can only be used if you schedule an appointment beforehand.,Le service ne peut être utilisé que si l’on prend un rendez-vous au préalable.,,,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
450,20,Das neue Projekt _____ zurzeit alle unsere Kapazitäten in Anspruch.,nimmt,in Anspruch nehmen,Das neue Projekt nimmt zurzeit alle unsere Kapazitäten in Anspruch.,The new project is currently using up all our capacities.,Le nouveau projet prend actuellement toutes nos capacités.,,,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
451,110,,,,eine Auswahl treffen,to make a selection,faire une selection,,,,,unter,auswählen
452,110,,,,eine Gelegenheit ergreifen,"to take an opportunity, to seize an opportunity","saisir une occasion, saisir une opportunité",,,,,,
453,110,,,,Verantwortung übernehmen,"to assume responsibility, to take responsibility",,,,,,,
454,110,,,,Verhandlungen führen,"to negociate, to conduct negotiations","méner des négociations, négocier",,,,,,
455,110,,,,zur Kenntnis nehmen,"to take note of something, to take notice of something, to recognise","prendre note, prendre connaissance de quelque chose",,,,,,
456,110,,,,Ansprüche stellen,"to claim, to make demands","réclamer, présenter des réclamations",,,,,,
457,110,,,,zur Verantwortung ziehen,to hold somebody accountable,tenir pour responsable,,,,,,
458,110,,,,zur Verhandlung kommen,"to be addressed, to go to trial","être négocier, être porté devant les tribunaux, être jugé",,,,,,
459,110,,,,aufgaben übernehmen,"to manage tasks, to take on tasks, to do tasks","assumer des tâches, prendre en charge des tâches",,,,,,
460,120,,,,Anspruch erheben,,,,,,,,
461,120,,,,Anwendung finden,,,,,,,,angewendet werden
462,120,,,,Ärger einbringen,,,,,,,,
463,120,,,,auf Ablehnung stoßen,,,,,,,,abgelehnt werden
464,120,,,,auf dem Laufenden bleiben,,,,,,,,
465,120,,,,auf die Nerven gehen,,,,,,,,nerven
466,120,,,,auf Kritik stoßen,,,,,,,,
467,120,,,,Auftrag erteilen,,,,,,,,
468,120,,,,Auskunft erteilen,,,,,,,,
469,120,,,,Beachtung finden,,,,,,,,
470,120,,,,Berufung einlegen,,,,,,,,
471,120,,,,die Erlaubnis geben,,,,,,,,erlauben
472,120,,,,die Konsequenzen ziehen,,,,,,,,
473,120,,,,ein Angebot ablehnen,,,,,,,,
474,120,,,,ein Angebot annehmen,,,,,,,,ein Angebot (nicht) akzeptieren
475,120,,,,ein Angebot machen,,,,,,,,
476,120,,,,ein Referat halten,,,,,,,,referieren
477,120,,,,ein Risiko eingehen,,,,,,,,
478,120,,,,ein Thema anschneiden ,,,,,,,,
479,120,,,,ein Urteil fällen,,,,,,,,
480,120,,,,ein Versprechen halten,,,,,,,,versprechen
481,120,,,,eine Analyse durchführen,,,,,,,,
482,120,,,,eine Chance nutzen,,,,,,,,
483,120,,,,eine Entscheidung fällen,,,,,,,,
484,120,,,,eine Entscheidung überdenken,,,,,,,,
485,120,,,,eine Erklärung liefern,,,,,,,,
486,120,,,,eine Forderung erheben,,,,,,,nach,fordern
487,120,,,,eine Garantie geben,,,,,,,,garantieren
488,120,,,,eine Niederlage erleiden,,,,,,,,
489,120,,,,eine Pflicht erfüllen,,,,,,,,
490,120,,,,eine Standpunkt vertreten,,,,,,,,
491,120,,,,eine Straftat begehen,,,,,,,,
492,120,,,,eine Verabredung treffen,,,,,,,,verabreden
493,120,,,,eine Vereinbarung treffen,,,,,,,,vereinbaren
494,120,,,,einen Eindruck machen,to make an impression,,,,,,auf + Akk.,jemanden beeindrucken / jmdm. (nicht) gefallen
495,120,,,,einen Anruf tätigen,,,,,,,,
496,120,,,,einen Auftrag geben,,,,,,,,beauftragen
497,120,,,,einen Beruf ausüben,,,,,,,,"arbeiten, tätig sein"
498,120,,,,einen Beschluss fassen,,,,,,,,
499,120,,,,einen Eindruck gewinnen,,,,,,,,
500,120,,,,einen Eindruck hinterlassen,to leave an impression,,,,,,,
501,120,,,,einen Kampf führen,,,,,,,,kämpfen
502,120,,,,einen Kompromiss schließen,,,,,,,,
503,120,,,,einen Plan umsetzen,,,,,,,,
504,120,,,,einen Rekord aufstellen,,,,,,,,
505,120,,,,einen Streit schlichten,,,,,,,,
506,120,,,,einen Unterschied machen,,,,,,,,
507,120,,,,einen Vergleich anstellen,,,,,,,,
508,120,,,,einen Versuch unternehmen,,,,,,,,
509,120,,,,einen Vertrag abschließen,,,,,,,,
510,120,,,,einen Vorwurf machen,,,,,,,,
511,120,,,,einen Wunsch erfüllen,,,,,,,Dat.,"tun, was sich jemand wünscht"
512,120,,,,Einfluss nehmen,,,,,,,auf,beeinflussen
513,120,,,,Einspruch erheben,,,,,,,,
514,120,,,,Freude bereiten,,,,,,,,
515,120,,,,Gefahr laufen,,,,,,,,
516,120,,,,Gefallen finden,,,,an,,,,
517,120,,,,Gewinn einbringen,,,,,,,,
518,120,,,,Hinweise geben,,,,,,,,
519,120,,,,in Angriff nehmen,,,,,,,,zu tun beginnen
520,120,,,,in Auftrag geben,,,,,,,,
521,120,,,,in Betracht kommen,,,,,,,,
522,120,,,,in Bewegung bringen,,,,,,,,
523,120,,,,in die Lage versetzen,,,,,,,,
524,120,,,,in Erwägung ziehen,,,,,,,,erwägen
525,120,,,,In Haft nehmen,,,,,,,,
526,120,,,,in Kenntnis setzen,,,,,,,,informieren
527,120,,,,in Kraft treten,,,,,,,,
528,120,,,,in Ohnmacht fallen,,,,,,,,
529,120,,,,in Ordnung bringen,,,,,,,,
530,120,,,,in Rechnung stellen,,,,,,,,jemandem etwas berechnen
531,120,,,,in Schutz nehmen,,,,,,,,
532,120,,,,in Verbindung stehen,,,,,,,,
533,120,,,,in Verdacht geraten,,,,,,,,verdächtigt werden
534,120,,,,in Vergessenheit geraten,,,,,,,,vergessen werden
535,120,,,,in Verlegenheit bringen,,,,,,,,verlegen machen
536,120,,,,in Zweifel ziehen,,,,,,,,bezweifeln
537,120,,,,Klage erheben,,,,,,,,
538,120,,,,Kontakt aufnehmen,,,,,,,,
539,120,,,,Mut fassen,,,,,,,,
540,120,,,,Protest erheben,,,,,,,,
541,120,,,,seinen Irrtum begehen,,,,,,,,
542,120,,,,sich Hoffnung machen,,,,,,,,hoffen
543,120,,,,sich zum Ziel setzen,,,,,,,,anstreben
544,120,,,,Stellung nehmen,,,,,,,,sich äußern
545,120,,,,unter Beweis stellen,,,,,,,,beweisen
546,120,,,,Verständnis haben,,,,,,,für + Akk.,etw. verstehen
547,120,,,,Verzicht leisten / üben,,,,,,,,verzichten
548,120,,,,vor Gericht bringen,,,,,,,,
549,120,,,,Vorwurf erheben,,,,,,,,
550,120,,,,zu einer Einsicht kommen,,,,,,,,einsehen
551,120,,,,zum Ausdruck bringen,,,,,,,,ausdrücken
552,120,,,,zum Opfer fallen,,,,,,,,
553,120,,,,zum Stehen bringen,,,,,,,,
554,120,,,,zur Anzeige bringen,,,,,,,,anzeigen
555,120,,,,zur Debatte stehen,,,,,,,,soll debattiert werden
556,120,,,,zur Folge haben,,,,,,,,bewirken
557,120,,,,zur Last fallen,,,,,,,,
558,120,,,,zur Verzweiflung bringen,,,,,,,,
559,120,,,,Anerkennung finden,,,,,,,,anerkannt werden
560,130,_____ bringen,zum Abschluss,zum Abschluss bringen,zum Abschluss bringen,to complete,mener à terme,Masculine,Masculin,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
561,130,zum Abschluss _____,bringen,zum Abschluss bringen,zum Abschluss bringen,to complete,mener à terme,,,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
562,130,Nach Monaten harter Arbeit wurde das Bauvorhaben _____ gebracht.,zum Abschluss,zum Abschluss bringen,Nach Monaten harter Arbeit wurde das Bauvorhaben zum Abschluss gebracht.,"After months of hard work, the construction project was completed.","Après des mois de travail acharné, le chantier a été mené à son terme.",,,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
563,130,Wir müssen das Projekt endlich _____ bringen.,zum Abschluss,zum Abschluss bringen,Wir müssen das Projekt endlich zum Abschluss bringen.,We need to finally bring the project to a close.,Nous devons enfin mener le projet à son terme.,,,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
564,130,Das Team hat die Diskussion erfolgreich zum Abschluss _____.,gebracht,zum Abschluss bringen,Das Team hat die Diskussion erfolgreich zum Abschluss gebracht.,The team successfully brought the discussion to a conclusion.,L’équipe a mené la discussion à sa conclusion avec succès.,,,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
565,130,Sie wollen die Verhandlungen bald zum Abschluss _____.,bringen,zum Abschluss bringen,Sie wollen die Verhandlungen bald zum Abschluss bringen.,They want to bring the negotiations to an end soon.,Ils veulent bientôt conclure les négociations.,,,zum Abschluss bringen = to complete,zum Abschluss bringen = mener à terme,,
