Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
1075,5,A2,erwarten,,"to expect, to await",s'attendre à,2. prefix,er,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)"
1076,5,A2,verlassen,,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",2. prefix,ver,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
1077,5,A2,versprechen,,"to promise, to hope for, to misspeak","promettre, espérer",2. prefix,ver,sprechen,to speak,parler (une langue)
1078,5,A2,verändern,,"to alter, to change something","modifier, changer quelque chose",2. prefix,ver,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement)
1079,5,A2,verpassen,,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",2. prefix,ver,passen,"to fit, to suit","s'adapter, convenir"
1080,5,B1,verbieten,,"to forbid, to prohibit","interdire, prohiber",2. prefix,ver,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
1081,5,A2,übernehmen,,to take over,"prendre le relais, prendre le contrôle",2. prefix,über,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1082,11,B1,abholen,,"to pick up, to collect","ramasser, collecter",2. prefix,ab,holen,to fetch,aller chercher
1083,11,B1,anbieten,,"to offer, to provide, to propose","offrir, fournir, proposer",2. prefix,an,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
1084,11,B1,aufpassen,,"to pay attention, to watch out, to take care","faire attention, prendre soin",2. prefix,auf,passen,"to fit, to suit","s'adapter, convenir"
1085,11,B1,zurückgehen,,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner",2. prefix,zurück,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
1086,11,B1,mitnehmen,,"to take along, to take with",emporter,2. prefix,mit,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1087,11,B1,mitbringen,,"to bring along, to bring with",apporter,2. prefix,mit,bringen,"to bring, to take, to lead","apporter, prendre, conduire"
1088,11,A2,mitteilen,,"to inform, to notify, to communicate","informer, notifier, communiquer",2. prefix,mit,teilen,"to split, to share, to divide","diviser, partager"
1089,11,B1,vorschlagen,,"to suggest, to propose","suggérer, proposer",2. prefix,vor,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre"
1090,11,B1,beraten,,"to advise, to consult, to discuss","conseiller, consulter, discuter",2. prefix,be,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner"
1091,11,B1,bewerben,,"to apply (for a job, position)","postuler (à un emploi, un poste)",2. prefix,be,werben,"to advertise, to recruit","faire de la publicité, recruter"
1092,11,B1,beenden,,"to finish, to end, to complete","finir, terminer, achever",2. prefix,be,enden,"to end, to finish, to conclude","terminer, achever, conclure"
1093,11,B1,ersetzen,,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",2. prefix,er,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
1094,11,B1,erstellen,,"to create, to prepare, to compile","créer, préparer, compiler",2. prefix,er,stellen,"to position, to put, to catch","positionner, mettre"
1095,11,B1,vertreten,,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",2. prefix,ver,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
1096,11,B1,überlegen,,"to consider, to think about, to reflect","considérer, penser à, réfléchir",2. prefix,über,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
1097,11,B1,überprüfen,,"to check, to examine, to verify","vérifier, examiner",2. prefix,über,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter"
1098,11,B1,abgeben,,"to submit, to hand in, to deliver","soumettre, remettre, livrer",2. prefix,ab,geben,to give,donner
1099,11,B1,absagen,,"to cancel, to call off",annuler,2. prefix,ab,sagen,"to say, to tell","dire, raconter"
1100,11,B1,abschließen,,"to complete, to conclude, to lock","compléter, conclure, verrouiller",2. prefix,ab,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
1101,11,B1,ablenken,,"to distract, to divert, to steer away","distraire, détourner, éloigner",2. prefix,ab,lenken,"to steer, to direct, to guide","diriger, orienter, guider"
1102,12,B1,abnehmen,,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",2. prefix,ab,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1103,12,B1,anschauen,,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",2. prefix,an,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche)
1104,12,B1,anfassen,,"to touch, to handle","toucher, manipuler",2. prefix,an,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
1105,12,B1,aufwachsen,,"to grow up, to be raised","grandir, être élevé",2. prefix,auf,wachsen,"to grow, to increase","grandir, augmenter"
1106,12,B1,aufnehmen,,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",2. prefix,auf,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1107,12,B1,einsetzen,,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",2. prefix,ein,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
1108,12,B1,zustimmen,,"to agree, to consent, to approve","être d'accord, consentir, approuver",2. prefix,zu,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
1109,12,B1,zubereiten,,"to prepare (food), to cook","préparer (de la nourriture), cuisiner",2. prefix,zu,bereiten,"to prepare, to cause","préparer, provoquer"
1110,12,B1,zunehmen,,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",2. prefix,zu,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1111,12,B1,zugeben,,"to admit, to confess, to add","admettre, confesser, ajouter",2. prefix,zu,geben,to give,donner
1112,12,B1,zurückkommen,,"to come back, to return","revenir, retourner",2. prefix,zurück,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
1113,12,B1,herausfinden,,"to find out, to discover, to figure out","découvrir, comprendre",2. prefix,heraus,finden,to find,trouver
1114,12,B1,hervorheben,,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",2. prefix,hervor,heben,"to lift, to raise","soulever, élever"
1115,12,B1,herstellen,,"to produce, to make, to establish","produire, fabriquer, établir",2. prefix,her,stellen,"to position, to put, to catch","positionner, mettre"
1116,12,B1,mitmachen,,"to participate, to join in, to go along","participer, se joindre à, accompagner",2. prefix,mit,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
1117,12,B1,vorhaben,,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",2. prefix,vor,haben,"to have, to contain","avoir, contenir"
1118,12,B1,vorbereiten,,"to prepare, to get ready",se préparer,2. prefix,vor,bereiten,"to prepare, to cause","préparer, provoquer"
1119,12,B1,vorgeben,,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",2. prefix,vor,geben,to give,donner
1120,12,B1,beschreiben,,"to describe, to depict","décrire, représenter",2. prefix,be,schreiben,to write,écrire
1121,12,B1,bestellen,,"to order, to reserve","commander, réserver",2. prefix,be,stellen,"to position, to put, to catch","positionner, mettre"
1122,13,B1,beweisen,,"to prove, to demonstrate","prouver, démontrer",2. prefix,be,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
1123,13,B1,bestehen,,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",2. prefix,be,stehen,"to stand, to be, to appear","être debout, apparaître"
1124,13,B1,begründen,,"to justify, to explain, to establish","justifier, expliquer, établir",2. prefix,be,gründen,"to found, to establish, to start","fonder, établir, démarrer"
1125,13,B1,besprechen,,"to discuss, to talk about","discuter, parler de",2. prefix,be,sprechen,to speak,parler (une langue)
1126,13,B1,beantworten,,"to answer, to reply to","répondre, répliquer à",2. prefix,be,antworten,"to answer, to reply","répondre, répliquer"
1127,13,B1,empfangen,,"to receive, to welcome, to greet","recevoir, accueillir, saluer",2. prefix,emp,fangen,to catch,attraper
1128,13,B1,empfinden,,"to feel, to sense, to perceive","sentir, pressentir, percevoir",2. prefix,emp,finden,to find,trouver
1129,13,B1,entdecken,,"to discover, to find","découvrir, trouver",2. prefix,ent,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger"
1130,13,B1,entstehen,,"to arise, to develop, to come into being","surgir, se développer, naître",2. prefix,ent,stehen,"to stand, to be, to appear","être debout, apparaître"
1131,13,B1,entsprechen,,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",2. prefix,ent,sprechen,to speak,parler (une langue)
1132,13,B1,entziehen,,"to withdraw, to remove, to deprive","retirer, enlever, priver",2. prefix,ent,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
1133,13,B2,erwachsen,,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler",2. prefix,er,wachsen,"to grow, to increase","grandir, augmenter"
1134,13,B1,erhalten,,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",2. prefix,er,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
1135,13,B1,erleben,,"to experience, to live through","expérimenter, vivre",2. prefix,er,leben,to live,vivre
1136,13,B1,erholen,,"to recover, to recuperate","récupérer, se rétablir",2. prefix,er,holen,to fetch,aller chercher
1137,13,B1,erfahren,,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",2. prefix,er,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire"
1138,13,B1,erfinden,,"to invent, to make up, to fabricate","inventer, fabriquer",2. prefix,er,finden,to find,trouver
1139,13,B1,erzielen,,"to achieve, to obtain, to reach","atteindre, obtenir, parvenir",2. prefix,er,zielen,"to aim, to target, to focus on","viser, cibler, se concentrer sur"
1140,13,B1,erfüllen,,"to fulfill, to satisfy, to carry out","accomplir, satisfaire, réaliser",2. prefix,er,füllen,"to fill, to stuff","remplir, farcir"
1141,13,B1,erreichen,,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",2. prefix,er,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant"
1142,14,B1,verstecken,,"to hide, to conceal","cacher, dissimuler",2. prefix,ver,stecken,"to stick, to pin","coller, épingler"
1143,14,B1,verlieben,,to fall in love,tomber amoureux,2. prefix,ver,lieben,to love,"aimer, être amoureux de"
1144,14,B1,verdienen,,"to earn, to deserve","gagner, mériter",2. prefix,ver,dienen,"to serve, to function","servir, fonctionner"
1145,14,B1,verbinden,,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",2. prefix,ver,binden,"to tie, to bind, to attach","attacher, lier"
1146,14,B1,verbringen,,"to spend (time), to pass",passer (du temps),2. prefix,ver,bringen,"to bring, to take, to lead","apporter, prendre, conduire"
1147,14,B1,vermeiden,,"to avoid, to prevent","éviter, empêcher",2. prefix,ver,meiden,"to avoid, to shun","éviter, fuir"
1148,14,B1,verteilen,,"to distribute, to allocate, to hand out","distribuer, attribuer",2. prefix,ver,teilen,"to split, to share, to divide","diviser, partager"
1149,14,B1,übertragen,,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",2. prefix,über,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
1150,14,B1,umziehen,,"to move (house), to change clothes","déménager, changer de vêtements",2. prefix,um,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
1151,14,B1,unterschreiben,,to sign,signer,2. prefix,unter,schreiben,to write,écrire
1152,14,B1,unterrichten,,"to teach, to instruct, to inform","enseigner, instruire, informer",2. prefix,unter,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
1153,14,B1,zerstören,,"to destroy, to ruin","détruire, ruiner",2. prefix,zer,stören,"to disturb, to interfere","déranger, interférer"
1154,14,B1,abbauen,,"to dismantle, to reduce, to break down","démanteler, réduire, décomposer",2. prefix,ab,bauen,to build,construire
1155,14,B1,abhängen,,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",2. prefix,ab,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de"
1156,14,B1,abfahren,,"to depart, to leave","partir, quitter",2. prefix,ab,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire"
1157,14,B1,besorgen,,"to get, to obtain, to take care of","obtenir, prendre soin de",2. prefix,be,sorgen,"to care, to worry","se soucier, s'inquiéter"
1158,23,B2,ankündigen,,"to announce, to declare","annoncer, déclarer",2. prefix,an,kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler"
1159,23,B2,einstellen,,"to hire, to adjust, to stop","embaucher, ajuster, arrêter",2. prefix,ein,stellen,"to position, to put, to catch","positionner, mettre"
1160,23,B2,zusagen,,"to promise, to accept, to agree","promettre, accepter, convenir",2. prefix,zu,sagen,"to say, to tell","dire, raconter"
1161,23,B2,herunterladen,,to download,télécharger,2. prefix,herunter,laden,"to load, to charge, to invite","charger, inviter"
1162,23,B2,hinweisen,,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",2. prefix,hin,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
1163,23,B2,nachdenken,,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",2. prefix,nach,denken,"to think, to consider","penser, considérer"
1164,23,B2,bearbeiten,,"to edit, to process, to work on","éditer, traiter, travailler sur",2. prefix,be,arbeiten,to work,travailler
1165,23,B2,entlassen,,"to dismiss, to fire, to release","congédier, licencier, libérer",2. prefix,ent,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
1166,23,B2,ergeben,,"to result in, to yield, to surrender","aboutir à, céder, se rendre",2. prefix,er,geben,to give,donner
1167,23,B2,verwenden,,"to use, to employ, to utilize","utiliser, employer, exploiter",2. prefix,ver,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser"
1168,23,B2,verschieben,,"to postpone, to move, to shift","reporter, déplacer, décaler",2. prefix,ver,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner"
1169,23,B2,unterbrechen,,"to interrupt, to suspend","interrompre, suspendre",2. prefix,unter,brechen,to break,"casser, briser"
1170,23,B2,untersuchen,,"to investigate, to examine, to analyze","enquêter, examiner, analyser",2. prefix,unter,suchen,"to seek, to search","chercher, rechercher"
1171,23,B2,unternehmen,,"to undertake, to attempt, to take action","entreprendre, tenter, agir",2. prefix,unter,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
1172,23,B2,anerkennen,,"to recognize, to acknowledge, to approve","reconnaître, admettre, approuver",2. prefix,an,erkennen,"to recognise, to realise","reconnaître, réaliser"
1173,23,B2,anwenden,,"to apply, to make use of","appliquer, faire usage de",2. prefix,an,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser"
1174,23,B2,einrichten,,"to set up, to furnish, to arrange","installer, meubler, aménager",2. prefix,ein,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
1175,23,B2,einführen,,"to introduce, to implement, to import","introduire, mettre en œuvre, importer",2. prefix,ein,führen,"to lead, to guide","guider, conduire"
1176,23,B2,zulassen,,"to allow, to permit, to license","permettre, autoriser, autoriser",2. prefix,zu,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
1177,23,B2,mitkommen,,"to come along, to keep up","venir, suivre",2. prefix,mit,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
1178,24,B2,behandeln,,"to treat, to handle, to deal with","traiter, manipuler, faire face à",2. prefix,be,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier"
1179,24,B2,berichten,,"to report, to inform, to cover","signaler, informer, couvrir",2. prefix,be,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
1180,24,B2,entwerfen,,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",2. prefix,ent,werfen,to throw,"jeter, lancer"
1181,24,B2,erfolgen,,"to occur, to take place","se produire, avoir lieu",2. prefix,er,folgen,to follow,suivre
1182,24,B2,versorgen,,"to supply, to provide for, to take care of","fournir, pourvoir à, prendre soin de",2. prefix,ver,sorgen,"to care, to worry","se soucier, s'inquiéter"
1183,24,B2,verarbeiten,,"to process, to handle, to work through","traiter, manipuler, travailler",2. prefix,ver,arbeiten,to work,travailler
1184,24,B2,abziehen,,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",2. prefix,ab,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
1185,24,B2,abheben,,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)",2. prefix,ab,heben,"to lift, to raise","soulever, élever"
1186,24,B2,angeben,,"to state, to declare, to show off","déclarer, affirmer, se vanter",2. prefix,an,geben,to give,donner
1187,24,B2,anpassen,,"to adapt, to adjust","s'adapter, ajuster",2. prefix,an,passen,"to fit, to suit","s'adapter, convenir"
1188,24,B2,ansprechen,,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à",2. prefix,an,sprechen,to speak,parler (une langue)
1189,24,B2,anzeigen,,"to report, to indicate, to display","signaler, indiquer, afficher",2. prefix,an,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer"
1190,24,B2,auftreten,,"to appear, to occur, to perform","apparaître, se produire, accomplir",2. prefix,auf,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
1191,24,B2,aufbauen,,"to build, to establish, to develop","construire, établir, développer",2. prefix,auf,bauen,to build,construire
1192,24,B2,betrinken,,to get drunk,se saouler,2. prefix,be,trinken,to drink,boire
1193,24,B2,bewundern,,to admire,admirer,2. prefix,be,wundern,"to surprise, to amaze","surprendre, étonner"
1194,24,B2,bemerken,,"to notice, to observe, to remark","remarquer, observer",2. prefix,be,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
1195,24,B2,beschließen,,"to decide, to resolve","décider, résoudre",2. prefix,be,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
1196,24,B2,berechnen,,"to calculate, to charge","calculer, facturer",2. prefix,be,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur"
1197,24,B2,beachten,,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",2. prefix,be,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à"
1198,25,B2,bedienen,,"to serve, to operate, to use","servir, opérer, utiliser",2. prefix,be,dienen,"to serve, to function","servir, fonctionner"
1199,25,B2,belegen,,"to prove, to occupy, to substantiate","prouver, occuper, étayer",2. prefix,be,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
1200,25,B2,betragen,,"to amount to, to come to","s'élever à, arriver à",2. prefix,be,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
1201,25,B2,betreiben,,"to operate, to run, to conduct","opérer, diriger, conduire",2. prefix,be,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever"
1202,25,B2,bezeichnen,,"to designate, to label, to describe","désigner, étiqueter, décrire",2. prefix,be,zeichnen,"to draw, to sketch","dessiner, esquisser"
1203,25,B2,erscheinen,,"to appear, to be published, to seem","apparaître, être publié, sembler",2. prefix,er,scheinen,"to seem, to shine","paraître, briller"
