Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
222,16,"Wenn du schneller Fortschritte machen willst, solltest du zusätzlich einen intensiven Kurs _____.",besuchen,einen Kurs besuchen,"Wenn du schneller Fortschritte machen willst, solltest du zusätzlich einen intensiven Kurs besuchen.","If you want to make faster progress, you should also attend an intensive course.","Si tu veux progresser plus vite, tu devrais aussi suivre un cours intensif.",,,,,einen Kurs besuchen = to attend a course,"einen Kurs besuchen = assister à un cours, suivre un course",,,,,,,
223,16,"Es fiel ihr sehr schwer, Abschied von ihrer alten Wohnung zu _____.",nehmen,Abschied nehmen,"Es fiel ihr sehr schwer, Abschied von ihrer alten Wohnung zu nehmen.",It was very hard for her to say goodbye to her old apartment.,Il lui a été très difficile de faire ses adieux à son ancien appartement.,,,,,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,,,,,
224,16,"Bei der Feier wurden Reden gehalten, um gemeinsam Abschied zu _____.",nehmen,Abschied nehmen,"Bei der Feier wurden Reden gehalten, um gemeinsam Abschied zu nehmen.",Speeches were held at the celebration to say farewell together.,"Lors de la fête, des discours ont été prononcés pour prendre congé ensemble.",,,,,von jdm. Abschied nehmen = to say goodbye,von jdm. Abschied nehmen = dire au revoir,,,,,,,
225,16,Die Daten _____ allen Mitarbeitern online zur Verfügung.,stehen,zur Verfügung stehen,Die Daten stehen allen Mitarbeitern online zur Verfügung.,The data is available online to all employees.,Les données sont mises à la disposition de tous les employés en ligne.,,,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,,,,
226,16,"Sobald die Ergebnisse vorliegen, werden sie der Öffentlichkeit zur Verfügung _____.",stehen,zur Verfügung stehen,"Sobald die Ergebnisse vorliegen, werden sie der Öffentlichkeit zur Verfügung stehen.","As soon as the results are available, they will be accessible to the public.","Dès que les résultats seront disponibles, ils seront accessibles au public.",,,,,zur Verfügung stehen = to be available,zur Verfügung stehen = être disponible,,,,,,,
227,16,"Der Lehrer _____ zusätzliche Materialien zur Verfügung, damit die Schüler besser lernen konnten.",stellte,zur Verfügung stellen,"Der Lehrer stellte zusätzliche Materialien zur Verfügung, damit die Schüler besser lernen konnten.",The teacher provided additional materials so that the students could learn better.,Le professeur a mis du matériel supplémentaire à disposition pour aider les élèves à mieux apprendre.,,,,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,,,,,
228,16,"Um das Projekt erfolgreich umzusetzen, _____ die Organisation Experten zur Verfügung.",stellte,zur Verfügung stellen,"Um das Projekt erfolgreich umzusetzen, stellte die Organisation Experten zur Verfügung.","To successfully implement the project, the organization provided experts.","Pour mener le projet à bien, l’organisation a mis des experts à disposition.",,,,,"jdm. etw.<sup>Acc</sup> zur Verfügung stellen = to make something available, to provide something",jdm. etw.<sup>Acc</sup> zur Verfügung stellen = fournir,,,,,,,
229,16,"Wenn das Budget nicht erhöht wird, _____ eine Erweiterung des Teams nicht in Frage.",kommt,in Frage kommen,"Wenn das Budget nicht erhöht wird, kommt eine Erweiterung des Teams nicht in Frage.","If the budget is not increased, expanding the team is not an option.","Si le budget n’est pas augmenté, l’élargissement de l’équipe n’est pas envisageable.",,,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,,,,
230,16,"Für diese Aufgabe _____ mehrere Lösungen in Frage, aber wir müssen sie sorgfältig prüfen.",kommen,in Frage kommen,"Für diese Aufgabe kommen mehrere Lösungen in Frage, aber wir müssen sie sorgfältig prüfen.","Several solutions are possible for this task, but we need to examine them carefully.","Plusieurs solutions sont possibles pour cette tâche, mais nous devons les examiner attentivement.",,,,,"in Frage kommen = to be a possibility, to come into question","in Frage kommen = être éligible, être pris en considération",,,,,,,
231,16,Sein Verhalten hat viele seiner früheren Entscheidungen in Frage _____.,gestellt,in Frage stellen,Sein Verhalten hat viele seiner früheren Entscheidungen in Frage gestellt.,His behavior has called many of his previous decisions into question.,Son comportement a remis en question beaucoup de ses décisions précédentes.,,,,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,,,,,
232,16,"Wir sollten nicht sofort alles in Frage _____, was neu ist.",stellen,in Frage stellen,"Wir sollten nicht sofort alles in Frage stellen, was neu ist.",We shouldn't immediately question everything that is new.,Nous ne devrions pas remettre en question immédiatement tout ce qui est nouveau.,,,,,"etw.<sup>Acc</sup> in Frage stellen = to question, to challenge, to come into question","etw.<sup>Acc</sup> in Frage stellen = remettre en question, mettre en cause, contester",,,,,,,
233,16,Sie hat endlich eine Entscheidung _____ und ist umgezogen.,getroffen,eine Entscheidung treffen,Sie hat endlich eine Entscheidung getroffen und ist umgezogen.,She finally made a decision and moved away.,Elle a enfin pris une décision et a déménagé.,,,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,,,,
234,16,Wir müssen bald eine gemeinsame Entscheidung _____.,treffen,eine Entscheidung treffen,Wir müssen bald eine gemeinsame Entscheidung treffen.,We need to make a joint decision soon.,Nous devons bientôt prendre une décision commune.,,,,,"eine Entscheidung treffen = to decide, to make a decision","eine Entscheidung treffen = décider, prendre une décision",,,,,,,
235,16,"Man sollte mehr Verständnis für Menschen _____, die unter großem Druck stehen.",haben,Verständnis haben,"Man sollte mehr Verständnis für Menschen haben, die unter großem Druck stehen.",One should have more understanding for people who are under great pressure.,On devrait avoir plus de compréhension pour les personnes qui sont sous une forte pression.,,,,,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,,,,,,,
236,16,"Die Kundin _____ Verständnis dafür, dass es aufgrund technischer Probleme zu Verzögerungen kam.",hatte,Verständnis haben,"Die Kundin hatte Verständnis dafür, dass es aufgrund technischer Probleme zu Verzögerungen kam.",The customer understood that technical problems had caused delays.,La cliente a compris que des problèmes techniques avaient entraîné des retards.,,,,,für etw.<sup>Acc</sup> Verständnis haben = be understanding,für etw.<sup>Acc</sup> Verständnis haben = faire preuve de compréhension,,,,,,,
237,16,"Viele Studierende sind nervös, wenn sie zum ersten Mal eine mündliche Prüfung _____ müssen.",ablegen,eine Prüfung ablegen,"Viele Studierende sind nervös, wenn sie zum ersten Mal eine mündliche Prüfung ablegen müssen.",Many students are nervous when they have to take an oral exam for the first time.,Beaucoup d’étudiants sont nerveux quand ils doivent passer un examen oral pour la première fois.,,,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,,,,
238,16,Er hat mehrere Prüfungen an einem Tag _____ und war danach völlig erschöpft.,abgelegt,eine Prüfung ablegen,Er hat mehrere Prüfungen an einem Tag abgelegt und war danach völlig erschöpft.,He took several exams in one day and was completely exhausted afterward.,Il a passé plusieurs examens en une seule journée et était complètement épuisé après.,,,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,,,,,,
239,16,Bei der Abschlussfeier hat der beste Student eine inspirierende Rede _____.,gehalten,eine Rede halten,Bei der Abschlussfeier hat der beste Student eine inspirierende Rede gehalten.,"At the graduation ceremony, the top student delivered an inspiring speech.","Lors de la cérémonie de fin d’études, le meilleur étudiant a tenu un discours inspirant.",,,,,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,,,,,
240,16,"Wenn man eine gute Rede _____ will, sollte man sie vorher gründlich vorbereiten.",halten,eine Rede halten,"Wenn man eine gute Rede halten will, sollte man sie vorher gründlich vorbereiten.","If you want to give a good speech, you should prepare it thoroughly beforehand.","Si on veut prononcer un bon discours, il faut bien le préparer à l’avance.",,,,,über etw.<sup>Acc</sup> eine Rede halten = to give a speech,"über etw.<sup>Acc</sup> eine Rede halten = faire un discours, prononcer un discours",,,,,,,
241,17,_____ leisten,Hilfe,Hilfe leisten,Hilfe leisten,"to help, to provide assistance","aider, fournir de l'aide",Feminine,Féminin,,,"Hilfe leisten = to help, to provide assistance","Hilfe leisten = aider, fournir de l'aide",,,A2,B2,Hilfe leisten,yes,helfen
242,17,_____ zeigen,Interesse,Interesse zeigen,Interesse zeigen,"to be interested in, to show interest",montrer de l'intérêt,Neuter,Neutre,,an + Dat.,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,A1,B2,Interesse zeigen,yes,sich interessieren für
243,17,_____ schließen,Freundschaft,Freundschaft schließen,Freundschaft schließen,"to make friends, to become friends",se faire des amis,Feminine,Féminin,,mit + Dat.,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,D1,B2,Freundschaft schließen,yes,anfreunden
244,17,_____ nehmen,Platz,Platz nehmen,Platz nehmen,"to seat, to take a seat","s'assoir, prendre place",Masculine,Masculin,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,A2,B2,Platz nehmen,yes (formal NVV),sich setzen
245,17,etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> _____ bringen,in Erfahrung,in Erfahrung bringen,etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen,"to find out, to learn, to come to know","apprendre, se renseigner",Feminine,Féminin,etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen,über + Acc.,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,C1,in Erfahrung bringen,yes,"herausfinden, erfahren"
246,17,_____ gehen,in Erfüllung,in Erfüllung gehen,in Erfüllung gehen,"to come true, to fulfill",se réaliser,Feminine,Féminin,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,,,B2C1,in Erfüllung gehen,fixed expression,sich erfüllen
247,17,_____ fassen,einen Entschluss,einen Entschluss fassen,einen Entschluss fassen,to decide,prendre une décision,Masculine,Masculin,,zu + Dat.,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,,,C1,einen Entschluss fassen,yes,beschließen
248,17,_____ kommen,zum Abschluss,zum Abschluss kommen,zum Abschluss kommen,to come to a conclusion,arriver à une conclusion,Masculine,Masculin,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,,,B2C1,zum Abschluss kommen,fixed expression,enden
249,17,etw.<sup>Acc</sup> _____ nehmen,in Anspruch,in Anspruch nehmen,etw.<sup>Acc</sup> in Anspruch nehmen,"to use, to make use of",utiliser,Masculine,Masculin,etw.<sup>Acc</sup> in Anspruch nehmen,,"etw.<sup>Acc</sup> in Anspruch nehmen = to use, to make use of",etw.<sup>Acc</sup> in Anspruch nehmen = utiliser,,,,C1,in Anspruch nehmen,yes,"nutzen, beanspruchen"
250,17,_____ stellen,einen Antrag,einen Antrag stellen,einen Antrag stellen,to apply for,soumettre une candidature,Masculine,Masculin,,auf + Acc.,einen Antrag stellen = to apply for,einen Antrag stellen = soumettre une candidature,,,,B2,einen Antrag stellen,yes,beantragen
251,18,Hilfe _____,leisten,Hilfe leisten,Hilfe leisten,to help,"aider, fournier de l'aide",,,,,"Hilfe leisten = to help, to provide assistance","Hilfe leisten = aider, fournir de l'aide",,,,,,,
252,18,Interesse _____,zeigen,Interesse zeigen,Interesse zeigen,"to be interested in, to show interest",montrer de l'intérêt,,,,,"Interesse zeigen = to be interested in, to show interest",Interesse zeigen = montrer de l'intérêt,,,,,,,
253,18,Freundschaft _____,schließen,Freundschaft schließen,Freundschaft schließen,"to make friends, to become friends",se faire des amis,,,,,"Freundschaft schließen = to make friends, to become friends",Freundschaft schließen = se faire des amis,,,,,,,
254,18,Platz _____,nehmen,Platz nehmen,Platz nehmen,"to seat, to take a seat","s'assoir, prendre place",,,,,"Platz nehmen = to seat, to take a seat","Platz nehmen = s'assoir, prendre place",,,,,,,
255,18,etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung _____,bringen,in Erfahrung bringen,etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen,"to find out, to learn, to come to know","apprendre, se renseigner",,,,,"etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = to find out, to learn, to come to know","etw.<sup>Acc</sup> über jdn./etw.<sup>Acc</sup> in Erfahrung bringen = apprendre, se renseigner",,,,,,,
