Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
254,13,Die Konferenz behandelt sowohl aktuelle _____ zukünftige wirtschaftliche Herausforderungen.,als auch,sowohl als auch,Die Konferenz behandelt sowohl aktuelle als auch zukünftige wirtschaftliche Herausforderungen.,The conference addresses both current and future economic challenges.,La conférence aborde les défis économiques actuels et futurs.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
255,13,Er ist sowohl ein talentierter Musiker _____ ein erfolgreicher Unternehmer.,als auch,sowohl als auch,Er ist sowohl ein talentierter Musiker als auch ein erfolgreicher Unternehmer.,He is both a talented musician and a successful entrepreneur.,Il est à la fois un musicien talentueux et un entrepreneur à succès.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
256,13,Das neue Gesetz betrifft sowohl Arbeitnehmer _____ Arbeitgeber gleichermaßen.,als auch,sowohl als auch,Das neue Gesetz betrifft sowohl Arbeitnehmer als auch Arbeitgeber gleichermaßen.,The new law affects both employees and employers equally.,La nouvelle loi affecte autant les salariés que les employeurs.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
257,13,Das Wetter war sowohl sonnig _____ angenehm warm während unseres Urlaubs.,als auch,sowohl als auch,Das Wetter war sowohl sonnig als auch angenehm warm während unseres Urlaubs.,The weather was both sunny and pleasantly warm during our vacation.,Le temps était à la fois ensoleillé et agréablement chaud pendant nos vacances.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
258,13,Sie hat sowohl theoretische _____ praktische Erfahrungen in diesem Bereich gesammelt.,als auch,sowohl als auch,Sie hat sowohl theoretische als auch praktische Erfahrungen in diesem Bereich gesammelt.,She has gained both theoretical and practical experience in this field.,Elle a acquis une expérience à la fois théorique et pratique dans ce domaine.,,,sowohl als auch = both and ● Correlative conjunction,sowohl als auch = à la fois ainsi que ● Conjonction corrélative
259,13,Das Unternehmen investiert in neue Technologien _____ in die Weiterbildung seiner Mitarbeitenden.,sowie,sowie,Das Unternehmen investiert in neue Technologien sowie in die Weiterbildung seiner Mitarbeitenden.,The company invests in new technologies as well as in the training of its employees.,L’entreprise investit dans de nouvelles technologies ainsi que dans la formation de ses employés.,,,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
260,13,"Die Studie untersucht soziale _____ wirtschaftliche Faktoren, die das Verhalten der Verbraucher beeinflussen.",sowie,sowie,"Die Studie untersucht soziale sowie wirtschaftliche Faktoren, die das Verhalten der Verbraucher beeinflussen.",The study examines social as well as economic factors that influence consumer behavior.,L’étude analyse des facteurs sociaux ainsi que des facteurs économiques qui influencent le comportement des consommateurs.,,,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
261,13,Der Vertrag regelt die Rechte _____ die Pflichten beider Parteien sehr genau.,sowie,sowie,Der Vertrag regelt die Rechte sowie die Pflichten beider Parteien sehr genau.,The contract defines the rights as well as the obligations of both parties very precisely.,Le contrat définit très précisément les droits ainsi que les obligations des deux parties.,,,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
262,13,Sie hat praktische Erfahrungen gesammelt _____ neue Kontakte in der Branche geknüpft.,sowie,sowie,Sie hat praktische Erfahrungen gesammelt sowie neue Kontakte in der Branche geknüpft.,She gained practical experience as well as built new contacts in the industry.,Elle a acquis une expérience pratique ainsi que noué de nouveaux contacts dans le secteur.,,,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
263,13,Die App bietet eine klare Übersicht über Ausgaben _____ eine automatische Kategorisierung.,sowie,sowie,Die App bietet eine klare Übersicht über Ausgaben sowie eine automatische Kategorisierung.,The app offers a clear overview of expenses as well as automatic categorization.,L’application offre une vue d’ensemble claire des dépenses ainsi qu’une catégorisation automatique.,,,sowie = as well as ● Coordinating conjunction,sowie = ainsi que ● Conjonction de coordination
264,13,"Er spricht _____ Deutsch, sondern auch Spanisch fließend.",nicht nur,nicht nur,"Er spricht nicht nur Deutsch, sondern auch Spanisch fließend.",He speaks not only German but also Spanish fluently.,Il parle couramment non seulement l'allemand mais aussi l'espagnol.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
265,13,"Das neue Auto ist _____ schnell, sondern auch umweltfreundlich.",nicht nur,nicht nur,"Das neue Auto ist nicht nur schnell, sondern auch umweltfreundlich.",The new car is not only fast but also environmentally friendly.,La nouvelle voiture est non seulement rapide mais aussi respectueuse de l’environnement.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
266,13,"Sie ist _____ eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",nicht nur,nicht nur,"Sie ist nicht nur eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",She is not only a talented musician but also a successful writer.,Elle n’est pas seulement une musicienne talentueuse mais aussi une écrivaine à succès.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
267,13,"Diese Stadt ist _____ historisch interessant, sondern auch kulturell vielfältig.",nicht nur,nicht nur,"Diese Stadt ist nicht nur historisch interessant, sondern auch kulturell vielfältig.",This city is not only historically interesting but also culturally diverse.,Cette ville est non seulement intéressante sur le plan historique mais aussi culturellement diversifiée.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
268,13,"Die Firma investiert _____ in Technologie, sondern auch in nachhaltige Entwicklung.",nicht nur,nicht nur,"Die Firma investiert nicht nur in Technologie, sondern auch in nachhaltige Entwicklung.",The company invests not only in technology but also in sustainable development.,L'entreprise investit non seulement dans la technologie mais aussi dans le développement durable.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative
269,13,"Er hat nicht nur die Prüfung bestanden, _____ die beste Note erhalten.",sondern auch,sondern auch,"Er hat nicht nur die Prüfung bestanden, sondern auch die beste Note erhalten.",He not only passed the exam but also got the best grade.,"Il a non seulement réussi l’examen, mais a également obtenu la meilleure note.",,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
270,13,"Das neue Restaurant bietet nicht nur leckeres Essen, _____ einen exzellenten Service.",sondern auch,sondern auch,"Das neue Restaurant bietet nicht nur leckeres Essen, sondern auch einen exzellenten Service.",The new restaurant offers not only delicious food but also excellent service.,Le nouveau restaurant propose non seulement une cuisine délicieuse mais également un excellent service.,,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
271,13,"Nicht nur das Wetter war perfekt, _____ die Atmosphäre am Strand war großartig.",sondern auch,sondern auch,"Nicht nur das Wetter war perfekt, sondern auch die Atmosphäre am Strand war großartig.","Not only was the weather perfect, but the atmosphere at the beach was also great.","Non seulement le temps était parfait, mais l’ambiance à la plage était également géniale.",,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
272,13,"Sie arbeitet nicht nur hart in ihrem Job, _____ zu Hause",sondern auch,sondern auch,"Sie arbeitet nicht nur hart in ihrem Job, sondern auch zu Hause","She does not only work hard at her job, but also at home","Elle ne travaille pas seulement dur à son travail, mais aussi à la maison",,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
273,13,"Das Training verbessert nicht nur die körperliche Fitness, _____ die mentale Stärke.",sondern auch,sondern auch,"Das Training verbessert nicht nur die körperliche Fitness, sondern auch die mentale Stärke.",The training improves not only physical fitness but also mental strength.,L’entraînement améliore non seulement la condition physique mais aussi la force mentale.,,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative
274,14,,sodass,sodass,,"so, such that, so much so that, consequently","de sorte que, si bien que",Subordinating conjunction,Conjonctions de subordination,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
275,14,,dagegen,dagegen,,"by contrast, in contrast, on the other hand","par contre, en revanche, au contraire",Adverb,Adverbe,"dagegen = by contrast, in contrast, on the other hand ● Adverb","dagegen = par contre, en revanche, au contraire ● Adverbe"
276,14,,stattdessen,stattdessen,,instead,"au lieu de cela, à la place",Adverb,Adverbe,stattdessen = instead ● Adverb,"stattdessen = au lieu de cela, à la place ● Adverbe"
277,14,,währenddessen,währenddessen,,"meanwhile, in the meantime, by now","pendant ce temps, en attendant",Adverb,Adverbe,"währenddessen = meanwhile, in the meantime, by now ● Adverb","währenddessen = pendant ce temps, en attendant ● Adverbe"
278,14,,folglich,folglich,,"consequently, as a result, thereupon","par conséquent, en conséquence",Adverb,Adverbe,"folglich = consequently, as a result, thereupon ● Adverb","folglich = par conséquent, en conséquence ● Adverbe"
279,14,,zuerst,zuerst,,"first, at first","d'abord, tout d'abord, au début",Adverb,Adverbe,"zuerst = first, at first ● Adverb","zuerst = d'abord, tout d'abord, au début ● Adverbe"
280,14,,schließlich,schließlich,,"finally, in the end, after all","enfin, finalement, après tout",Adverb,Adverbe,"schließlich = finally, in the end, after all ● Adverb","schließlich = enfin, finalement, après tout ● Adverbe"
281,14,,außerdem,außerdem,,"besides, moreover, furthermore","en outre, de plus",Adverb,Adverbe,"außerdem = besides, moreover, furthermore ● Adverb","außerdem = en outre, de plus ● Adverbe"
282,15,"Es regnete plötzlich stark, _____ wir komplett nass wurden.",sodass,sodass,"Es regnete plötzlich stark, sodass wir komplett nass wurden.","It suddenly rained heavily, so much so we got completely soaked.","Il s’est mis à pleuvoir fortement, si bien que nous avons été complètement trempés.",,,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
283,15,"Der Zug hatte große Verspätung, _____ ich meinen Termin verpasste.",sodass,sodass,"Der Zug hatte große Verspätung, sodass ich meinen Termin verpasste.","The train was heavily delayed, so I missed my appointment.","Le train avait beaucoup de retard, si bien que j’ai manqué mon rendez-vous.",,,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
284,15,"Die Musik war extrem laut, _____ die Nachbarn sich beschwerten.",sodass,sodass,"Die Musik war extrem laut, sodass die Nachbarn sich beschwerten.","The music was extremely loud, as a consequence the neighbours complained.","La musique était extrêmement forte, si bien que les voisins se sont plaints.",,,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
285,15,"Er arbeitete die ganze Nacht, _____ er am Morgen völlig erschöpft war.",sodass,sodass,"Er arbeitete die ganze Nacht, sodass er am Morgen völlig erschöpft war.","He worked the whole night, so he was completely exhausted in the morning.","Il a travaillé toute la nuit, si bien qu’il était complètement épuisé le matin.",,,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
286,15,"Die Straße war gesperrt, _____ wir einen Umweg fahren mussten.",sodass,sodass,"Die Straße war gesperrt, sodass wir einen Umweg fahren mussten.","The street was closed, so we had to take a detour.","La rue était fermée, si bien que nous avons dû faire un détour.",,,"sodass = so, such that, so much so that, consequently ● Subordinating conjunction","sodass = de sorte que, si bien que ● Conjonctions de subordination"
